"rank, position","name, team"
1. (RB1),"Arian Foster, HOU"
2. (RB2),"Ray Rice, BAL"
3. (WR1),"Calvin Johnson, DET"
4. (WR2),"Wes Welker, NE"
5. (RB3),"LeSean McCoy, PHI"
6. (QB1),"Aaron Rodgers, GB"
7. (WR3),"Roddy White, ATL"
8. (WR4),"Larry Fitzgerald, ARI"
9. (RB4),"Chris Johnson, TEN"
10. (QB2),"Tom Brady, NE"
11. (WR5),"Andre Johnson, HOU"
12. (WR6),"A.J. Green, CIN"
13. (QB3),"Drew Brees, NO"
14. (WR7),"Mike Wallace, PIT"
15. (RB5),"Matt Forte, CHI"
16. (WR8),"Greg Jennings, GB"
17. (QB4),"Matthew Stafford, DET"
18. (RB6),"Darren Sproles, NO"
19. (TE1),"Jimmy Graham, NO"
20. (WR9),"Hakeem Nicks, NYG"
21. (RB7),"Ryan Mathews, SD"
22. (WR10),"Julio Jones, ATL"
23. (TE2),"Rob Gronkowski, NE"
24. (WR11),"Brandon Marshall, CHI"
25. (RB8),"Maurice Jones-Drew, JAC"
26. (WR12),"Percy Harvin, MIN"
27. (QB5),"Cam Newton, CAR"
28. (WR13),"Dwayne Bowe, KC"
29. (WR14),"Marques Colston, NO"
30. (WR15),"Jordy Nelson, GB"
31. (RB9),"Jamaal Charles, KC"
32. (WR16),"Victor Cruz, NYG"
33. (RB10),"Fred Jackson, BUF"
34. (WR17),"Steve Smith, CAR"
35. (WR18),"Steve Johnson, BUF"
36. (RB11),"Steven Jackson, STL"
37. (WR19),"Eric Decker, DEN"
38. (RB12),"Darren McFadden, OAK"
39. (WR20),"Vincent Jackson, TB"
40. (RB13),"Trent Richardson, CLE"
41. (RB14),"Marshawn Lynch, SEA"
42. (WR21),"Jeremy Maclin, PHI"
43. (WR22),"Dez Bryant, DAL"
44. (RB15),"DeMarco Murray, DAL"
45. (WR23),"Antonio Brown, PIT"
46. (TE3),"Antonio Gates, SD"
47. (QB6),"Eli Manning, NYG"
48. (WR24),"Demaryius Thomas, DEN"
49. (RB16),"Frank Gore, SF"
50. (WR25),"Robert Meachem, SD"
51. (RB17),"Ahmad Bradshaw, NYG"
52. (TE4),"Vernon Davis, SF"
53. (WR26),"Brandon Lloyd, NE"
54. (WR27),"DeSean Jackson, PHI"
55. (QB7),"Michael Vick, PHI"
56. (RB18),"Adrian Peterson, MIN"
57. (WR28),"Pierre Garcon, WAS"
58. (TE5),"Tony Gonzalez, ATL"
59. (RB19),"Michael Turner, ATL"
60. (WR29),"Miles Austin, DAL"
61. (QB8),"Tony Romo, DAL"
62. (RB20),"Reggie Bush, MIA"
63. (TE6),"Jason Witten, DAL"
64. (QB9),"Peyton Manning, DEN"
65. (RB21),"Jonathan Stewart, CAR"
66. (WR30),"Kenny Britt, TEN"
67. (TE7),"Aaron Hernandez, NE"
68. (WR31),"Lance Moore, NO"
69. (WR32),"Torrey Smith, BAL"
70. (QB10),"Philip Rivers, SD"
71. (RB22),"Doug Martin, TB"
72. (WR33),"Denarius Moore, OAK"
73. (WR34),"Anquan Boldin, BAL"
74. (RB23),"Kevin Smith, DET"
75. (TE8),"Jermichael Finley, GB"
76. (WR35),"Santonio Holmes, NYJ"
77. (WR36),"Titus Young, DET"
78. (RB24),"Shonn Greene, NYJ"
79. (RB25),"Stevan Ridley, NE"
80. (TE9),"Fred Davis, WAS"
81. (WR37),"Nate Washington, TEN"
82. (QB11),"Matt Ryan, ATL"
83. (WR38),"Malcom Floyd, SD"
84. (TE10),"Jared Cook, TEN"
85. (WR39),"Michael Crabtree, SF"
86. (RB26),"C.J. Spiller, BUF"
87. (TE11),"Jacob Tamme, DEN"
88. (WR40),"Reggie Wayne, IND"
89. (TE12),"Brandon Pettigrew, DET"
90. (RB27),"Roy Helu, WAS"
91. (QB12),"Ben Roethlisberger, PIT"
92. (RB28),"Pierre Thomas, NO"
93. (WR41),"Davone Bess, MIA"
94. (WR42),"Darrius Heyward-Bey, OAK"
95. (RB29),"Peyton Hillis, KC"
96. (TE13),"Brent Celek, PHI"
97. (QB13),"Robert Griffin III, WAS"
98. (WR43),"Nate Burleson, DET"
