Rank,Name,c/a,passingYds,passTDs,Ints,carries,rushYards,rushTDs,receptions,receivingYds,receivingTDs,targets,ownership,projectedPoints
1,"Saquon Barkley
NYGRB",0/0,0,0,0,280,1289,9,88,711,3,117,99.6,276.1
2,"Christian McCaffrey
CarRB",0/0,0,0,0,225,1016,7,93,768,4,115,99.6,246
3,"Alvin Kamara
NORB",0/0,0,0,0,203,903,10,82,737,4,104,99.6,251.3
4,"Ezekiel ElliottQ
DalRB",0/0,0,0,0,309,1376,10,74,586,3,93,99.5,270.2
5,"DeAndre Hopkins
HouWR",0/0,0,0,0,0,0,0,103,1391,9,159,99.6,195.2
6,"Michael Thomas
NOWR",0/0,0,0,0,0,0,0,114,1322,8,147,99.6,180.6
7,"David Johnson
AriRB",0/0,0,0,0,273,1090,8,64,629,3,92,99.5,240.3
8,"Le'Veon Bell
NYJRB",0/0,0,0,0,254,1139,6,65,515,3,84,99.5,218.7
9,"Davante Adams
GBWR",0/0,0,0,0,0,0,0,98,1204,11,147,99.6,185.5
10,"Julio JonesQ
AtlWR",0/0,0,0,0,2,11,0,96,1432,8,149,99.5,192
11,"Odell Beckham Jr.Q
CleWR",0/0,0,0,0,4,23,0,88,1218,10,140,99.5,183
12,"Tyreek Hill
KCWR",0/0,0,0,0,17,124,1,84,1283,9,131,99.4,203.2
13,"JuJu Smith-Schuster
PitWR",0/0,0,0,0,0,0,0,103,1311,8,152,99.5,177.8
14,"Todd Gurley II
LARRB",0/0,0,0,0,231,1067,13,46,429,3,63,99.5,242.4
15,"Travis Kelce
KCTE",0/0,0,0,0,0,0,0,98,1234,10,143,99.5,183.4
16,"Antonio Brown
OakWR",0/0,0,0,0,0,0,0,99,1218,8,155,99.4,171.9
17,"Joe Mixon
CinRB",0/0,0,0,0,259,1163,9,52,397,2,67,99.3,215.8
18,"James Conner
PitRB",0/0,0,0,0,234,1020,10,50,413,2,63,99.5,213.2
19,"Dalvin Cook
MinRB",0/0,0,0,0,262,1171,6,54,421,2,68,98.9,206.1
20,"Mike EvansQ
TBWR",0/0,0,0,0,0,0,0,85,1355,7,143,99.2,176.8
21,"Keenan Allen
LACWR",0/0,0,0,0,4,26,0,98,1237,7,144,99.1,166.5
22,"Nick Chubb
CleRB",0/0,0,0,0,258,1181,9,36,290,2,46,99.1,210.9
23,"Kerryon Johnson
DetRB",0/0,0,0,0,218,985,5,55,398,2,69,97.3,182.8
24,"Leonard Fournette
JaxRB",0/0,0,0,0,239,901,9,50,399,1,62,98.9,188.2
25,"Devonta Freeman
AtlRB",0/0,0,0,0,205,871,8,50,424,3,63,98.4,192.6
26,"Melvin GordonO
LACRB",0/0,0,0,0,178,780,6,44,384,2,56,99.2,168.3
27,"Amari CooperQ
DalWR",0/0,0,0,0,2,12,0,86,1148,7,128,99,159.5
28,"T.Y. Hilton
IndWR",0/0,0,0,0,0,0,0,77,1204,7,128,99.1,163.2
29,"George Kittle
SFTE",0/0,0,0,0,0,0,0,82,1153,6,126,99.3,151.8
30,"Zach Ertz
PhiTE",0/0,0,0,0,0,0,0,86,874,8,119,99.5,134
31,"Josh Jacobs
OakRB",0/0,0,0,0,232,1018,7,44,357,2,55,95,188.5
32,"Derrick HenryQ
TenRB",0/0,0,0,0,285,1268,12,18,152,1,22,97.7,216.6
33,"Chris Carson
SeaRB",0/0,0,0,0,244,1065,9,32,261,1,40,95.4,193.1
34,"Marlon Mack
IndRB",0/0,0,0,0,247,1107,8,30,229,1,41,96.4,190.2
35,"Aaron Jones
GBRB",0/0,0,0,0,200,932,8,37,279,2,47,95.9,180
36,"Julian Edelman
NEWR",0/0,0,0,0,9,69,0,95,1162,6,138,98.8,163.2
37,"Adam Thielen
MinWR",0/0,0,0,0,4,28,0,88,1095,6,126,99.2,151.1
38,"Brandin Cooks
LARWR",0/0,0,0,0,9,51,0,75,1120,6,115,98.4,154.9
39,"Stefon Diggs
MinWR",0/0,0,0,0,8,48,0,86,930,7,126,98.7,138.3
40,"Robert Woods
LARWR",0/0,0,0,0,13,87,0,73,971,5,115,97.1,140
41,"Kenny Golladay
DetWR",0/0,0,0,0,2,13,0,73,1021,6,122,95.4,139
42,"Cooper KuppQ
LARWR",0/0,0,0,0,4,23,0,68,895,7,99,95.5,133
43,"Patrick Mahomes
KCQB",375/579,4741,35,12,52,223,3,0,0,0,0,99.6,340.3
45,"Damien Williams
KCRB",0/0,0,0,0,150,638,8,49,402,4,63,94.7,172.3
46,"Mark Ingram II
BalRB",0/0,0,0,0,226,1028,8,36,275,1,44,95.3,178.4
47,"Alshon Jeffery
PhiWR",0/0,0,0,0,0,0,0,68,892,8,103,95.7,135.7
48,"Chris Godwin
TBWR",0/0,0,0,0,0,0,0,71,969,6,115,93.1,134.2
49,"Tyler Lockett
SeaWR",0/0,0,0,0,9,56,0,69,962,6,93,94.9,140.5
50,"Mike Williams
LACWR",0/0,0,0,0,8,41,0,64,918,8,106,92.9,144.5
51,"DJ Moore
CarWR",0/0,0,0,0,16,126,0,72,952,4,110,92.1,135.6
52,"Tyler Boyd
CinWR",0/0,0,0,0,2,11,0,80,1009,4,117,92,126.9
53,"Allen Robinson
ChiWR",0/0,0,0,0,0,0,0,68,950,6,116,90.6,129.8
54,"Calvin Ridley
AtlWR",0/0,0,0,0,7,37,0,69,883,7,103,92.7,132.2
55,"Josh GordonO
NEWR",0/0,0,0,0,0,0,0,58,962,6,104,66.2,130.6
56,"Sammy Watkins
KCWR",0/0,0,0,0,3,21,0,63,916,6,97,91.7,128.4
57,"A.J. GreenD
CinWR",0/0,0,0,0,0,0,0,69,1014,6,117,93.4,137.3
58,"James White
NERB",0/0,0,0,0,56,241,3,81,700,5,110,94.4,141.1
59,"Sony Michel
NERB",0/0,0,0,0,250,1068,11,13,108,1,17,95.1,186.1
60,"Kenyan DrakeQ
MiaRB",0/0,0,0,0,138,622,4,63,525,2,83,91.3,150.3
62,"David Montgomery
ChiRB",0/0,0,0,0,212,938,6,32,266,1,42,89.6,163.5
63,"Tarik Cohen
ChiRB",0/0,0,0,0,74,324,2,61,569,3,79,91.7,122.2
64,"Phillip Lindsay
DenRB",0/0,0,0,0,168,760,5,35,255,1,46,93.9,139.6
65,"Derrius Guice
WshRB",0/0,0,0,0,195,814,6,33,257,1,44,88.6,150
66,"Lamar Miller
HouRB",0/0,0,0,0,216,942,5,28,215,1,36,89.7,150.4
67,"Evan Engram
NYGTE",0/0,0,0,0,4,14,0,66,791,5,102,98.4,111.5
69,"O.J. Howard
TBTE",0/0,0,0,0,0,0,0,58,801,5,86,96.2,110.4
70,"Hunter Henry
LACTE",0/0,0,0,0,0,0,0,54,690,7,80,94.9,110.1
71,"Jared Cook
NOTE",0/0,0,0,0,0,0,0,58,733,6,87,95.6,111.5
72,"Deshaun Watson
HouQB",338/516,4002,25,11,97,612,5,0,0,0,0,99.1,322.9
74,"Matt Ryan
AtlQB",394/578,4639,31,8,35,116,1,0,0,0,0,97.7,306.5
76,"Aaron Rodgers
GBQB",342/551,4002,30,7,46,258,2,0,0,0,0,98.7,299.7
78,"Sterling ShepardQ
NYGWR",0/0,0,0,0,5,31,0,73,946,6,118,88.9,132
79,"Jarvis Landry
CleWR",0/0,0,0,0,4,27,0,69,828,6,113,94.1,120.6
80,"Robby Anderson
NYJWR",0/0,0,0,0,4,23,0,58,875,7,110,88,133.3
83,"Dede Westbrook
JaxWR",0/0,0,0,0,8,52,0,73,830,4,113,85.9,117.7
84,"Will Fuller VQ
HouWR",0/0,0,0,0,0,0,0,52,750,5,87,86.9,103.6
85,"Marvin Jones Jr.Q
DetWR",0/0,0,0,0,0,0,0,59,841,7,101,85.5,124.2
86,"Christian Kirk
AriWR",0/0,0,0,0,4,22,0,62,830,4,98,82.2,109.3
87,"Emmanuel Sanders
DenWR",0/0,0,0,0,2,13,0,71,875,4,108,81.7,109.8
