RK,PLAYER,PTS ADDED,PASS,RUN,PENALTY,TOTAL EPA,QB PLAYS,RAW QBR,TOTAL QBR
1,"Drew Brees, NO",66.3,88.4,4.7,2.8,103.5,582,83.4,82
2,"Peyton Manning, IND",65.3,100.4,-1.4,3.3,107.3,629,81.3,80.7
3,"Philip Rivers, LAC",49.1,72.8,1.1,4.6,89.2,578,76.9,77.2
4,"Brett Favre, MIN",49.1,72.7,-0.2,0.9,89.2,614,75.6,74.4
5,"Tom Brady, NE",45.8,77.9,1.2,2.1,88.8,645,73.2,74.1
6,"Matt Schaub, HOU",48.5,86.6,-1.5,0.4,94.8,663,73.8,72.9
7,"Eli Manning, NYG",34.8,55.5,-0.8,1.8,67.1,587,69.8,71.7
8,"Vince Young, TEN",18.9,30.5,9.6,-0.2,43.4,323,69.5,69.6
9,"Aaron Rodgers, GB",42.6,44.1,18.9,2.8,87.6,685,70.7,69.1
10,"Ben Roethlisberger, PIT",34.7,52.6,4.3,2.2,84.1,613,69,69
11,"Matt Ryan, ATL",22.7,49.2,0.3,3.2,60.2,523,64.9,67.7
12,"Kurt Warner, ARI",31,57.8,-2.7,2.1,66,579,68.1,66.2
13,"Tony Romo, DAL",27.3,57.4,1.4,0.5,73.1,647,64.5,65.5
14,"Carson Palmer, CIN",15.7,43.2,4.4,-0.1,61.9,575,59.5,58.6
15,"Joe Flacco, BAL",16.8,45.7,-1.6,4.5,62.2,599,59.8,58.5
16,"Donovan McNabb, PHI",10.8,26.3,6.3,2.5,50.2,538,57,58.2
17,"Kyle Orton, DEN",13.8,46.5,0.5,3,60.2,628,57.7,56.9
18,"Jason Campbell, WSH",8.3,23.5,10,1.8,54.5,622,54.7,55.2
19,"David Garrard, JAX",10.1,31.6,8.5,1.5,56.2,649,55.5,54.4
20,"Chad Henne, MIA",4.1,32.2,-0.4,0.5,42.9,516,52.8,53.1
21,"Jay Cutler, CHI",0.5,31,6.6,0.6,50.8,661,50.3,49.9
22,"Alex Smith, SF",-7.1,17.5,0.5,1.2,28.9,445,44.4,41.8
23,"Jake Delhomme, CAR",-14.2,3.7,2,-0.6,16.3,374,36.9,37.3
24,"Matthew Stafford, DET",-16.6,2.4,3.6,1.7,18.9,441,37,37.1
25,"Josh Freeman, TB",-13.2,4.1,5.6,-0.9,15.4,356,37.2,37
26,"Matt Hasselbeck, SEA",-25,4.2,1,1.5,20.3,573,35,34
27,"Mark Sanchez, NYJ",-20,0.5,5.7,0.6,18.5,452,34.8,32.8
28,"Matt Cassel, KC",-39.4,6.7,-11.6,3.2,14.4,626,29.1,29.7
