RK,PLAYER,PTS ADDED,PASS,RUN,PENALTY,TOTAL EPA,QB PLAYS,RAW QBR,TOTAL QBR
1,"Patrick Mahomes, KC",72.2,101,11.7,3.2,126,722,80.4,80.3
2,"Drew Brees, NO",56.1,80.2,5.4,6.2,100.5,562,80.4,79.2
3,"Mitchell Trubisky, CHI",35.3,43.1,22.1,3.8,80.3,565,70.8,71
4,"Ben Roethlisberger, PIT",48.2,89.3,8.7,5.1,113.5,762,71,69.6
5,"Andrew Luck, IND",42.9,84.4,5,4.3,103,741,69.4,69.6
6,"Tom Brady, NE",31.4,63.6,4.4,4.7,82.6,643,66.6,68.4
7,"Philip Rivers, LAC",33.9,65.8,-0.9,1.3,79.1,595,69.1,67.8
8,"Jameis Winston, TB",28.6,37.8,10.8,5.4,65.6,485,69.7,66.2
9,"Matt Ryan, ATL",39.7,60.2,7.4,4.9,92.9,722,68.5,65.7
10,"Jared Goff, LAR",25.2,60.8,0.6,4.4,79.9,665,63.1,63.6
11,"Russell Wilson, SEA",21.1,32,11,2.6,69,571,62.8,63.3
12,"Carson Wentz, PHI",17.8,39.8,1.8,3.1,58.5,488,62.6,62
13,"Deshaun Watson, HOU",21.5,31.8,17,3.8,79.5,702,60.7,61.8
14,"Kirk Cousins, MIN",16.8,57.3,-5.1,2.2,71.8,718,58.2,59.5
15,"Andy Dalton, CIN",15.4,35.4,2,3.4,50.6,433,62.3,59.4
16,"Aaron Rodgers, GB",9.1,25.1,17.8,3.2,70,737,54.4,58
17,"Dak Prescott, DAL",12.2,35.1,12.2,2.1,71.7,693,56.2,55.2
18,"Joe Flacco, BAL",7.9,30.1,2.9,4.6,43.4,441,56.3,54.8
19,"Cam Newton, CAR",8.9,41.7,8.4,0,62.6,629,55,53.2
20,"Marcus Mariota, TEN",0.8,14.6,6.7,4.8,42.2,471,50.6,53.2
21,"Nick Mullens, SF",3.6,23.6,-2.8,1.8,29,334,53.8,51.7
22,"Matthew Stafford, DET",-2.8,25.8,4.2,4.2,49.2,647,48.4,51.3
23,"Baker Mayfield, CLE",5.3,34.8,0.9,3.6,51.5,580,53.2,51.2
24,"Josh Allen, BUF",-0.3,-1.8,24.1,3.5,35.6,461,49.8,49.8
25,"Eli Manning, NYG",-2.5,30.2,2,2.4,54.8,684,48.7,49.1
26,"Alex Smith, WSH",1.6,17.8,5.5,2.9,35,422,51.4,46.9
27,"Derek Carr, OAK",-5.9,27.3,2.5,0.2,50.8,669,46.9,46.5
28,"Sam Darnold, NYJ",-6.6,23.5,3.3,-1.1,36.6,510,45.5,45.9
29,"Case Keenum, DEN",-8.8,26.9,4.2,3.5,50.6,685,45.5,44.5
30,"Blake Bortles, JAX",-12.2,9.3,11.6,-1.6,30.5,515,41.7,43.4
31,"Lamar Jackson, BAL",-3.6,6.6,13.8,0.4,27.7,338,46.3,42.6
32,"Ryan Tannehill, MIA",-20.6,-6.3,3.6,0.8,13.4,363,31,33.2
33,"Josh Rosen, ARI",-38.7,-13.6,3.3,1.2,7.9,491,24.7,24.1
