depthChart,Name rank,team
QB1,Josh Allen (119),BUF
QB2,-,BUF
RB1,Devin Singletary (49),BUF
RB2,Zack Moss (91),BUF
RB3,-,BUF
WR1,Stefon Diggs (64),BUF
WR2,John Brown (99),BUF
WR3,Cole Beasley (213),BUF
WR4,-,BUF
TE1,Dawson Knox (257),BUF
TE2,-,BUF
QB1,Joe Burrow (219),CIN
QB2,-,CIN
RB1,Joe Mixon (15),CIN
RB2,Giovani Bernard (204),CIN
RB3,Trayveon Williams (280),CIN
WR1,Tyler Boyd (62),CIN
WR2,A.J. Green (63),CIN
WR3,Tee Higgins (154),CIN
WR4,John Ross III (260),CIN
TE1,C.J. Uzomah (292),CIN
TE2,Drew Sample (334),CIN
QB1,Philip Rivers (245),IND
QB2,Jacoby Brissett (340),IND
RB1,Jonathan Taylor (48),IND
RB2,Nyheim Hines (130),IND
RB3,Marlon Mack (131),IND
WR1,T.Y. Hilton (51),IND
WR2,Parris Campbell (127),IND
WR3,Michael Pittman Jr. (148),IND
WR4,-,IND
TE1,Jack Doyle (161),IND
TE2,Trey Burton (326),IND
QB1,Drew Lock (220),DEN
QB2,-,DEN
RB1,Melvin Gordon (46),DEN
RB2,Phillip Lindsay (86),DEN
RB3,Royce Freeman (279),DEN
WR1,Courtland Sutton (30),DEN
WR2,Jerry Jeudy (107),DEN
WR3,KJ Hamler (229),DEN
WR4,-,DEN
TE1,Noah Fant (112),DEN
TE2,-,DEN
QB1,Tua Tagovailoa (268),MIA
QB2,Ryan Fitzpatrick (302),MIA
RB1,Jordan Howard (88),MIA
RB2,Matt Breida (89),MIA
RB3,Patrick Laird (305),MIA
WR1,DeVante Parker (61),MIA
WR2,Preston Williams (96),MIA
WR3,Jakeem Grant (234),MIA
WR4,-,MIA
TE1,Mike Gesicki (134),MIA
TE2,-,MIA
QB1,Baker Mayfield (167),CLE
QB2,Case Keenum (319),CLE
RB1,Nick Chubb (11),CLE
RB2,Kareem Hunt (57),CLE
RB3,-,CLE
WR1,Odell Beckham Jr. (31),CLE
WR2,Jarvis Landry (53),CLE
WR3,-,CLE
WR4,-,CLE
TE1,Austin Hooper (136),CLE
TE2,David Njoku (311),CLE
QB1,Gardner Minshew II (243),JAX
QB2,-,JAX
RB1,Leonard Fournette (40),JAX
RB2,Ryquell Armstead (156),JAX
RB3,Chris Thompson (240),JAX
WR1,DJ Chark Jr. (55),JAX
WR2,Dede Westbrook (215),JAX
WR3,Laviska Shenault Jr. (218),JAX
WR4,Chris Conley (231),JAX
TE1,Tyler Eifert (249),JAX
TE2,-,JAX
QB1,Justin Herbert (270),LAC
QB2,Tyrod Taylor (310),LAC
RB1,Austin Ekeler (14),LAC
RB2,Justin Jackson (133),LAC
RB3,Joshua Kelley (160),LAC
WR1,Keenan Allen (50),LAC
WR2,Mike Williams (108),LAC
WR3,-,LAC
WR4,-,LAC
