depthChart,name rank,team
QB1,Josh Allen (23),BUF
QB2,-,BUF
RB1,James Cook (69),BUF
RB2,Damien Harris (135),BUF
RB3,Latavius Murray (309),BUF
WR1,Stefon Diggs (13),BUF
WR2,Gabriel Davis (109),BUF
WR3,Khalil Shakir (271),BUF
WR4,-,BUF
TE1,Dalton Kincaid (138),BUF
TE2,Dawson Knox (258),BUF
K,Tyler Bass (157),BUF
QB1,Joe Burrow (42),CIN
QB2,-,CIN
RB1,Joe Mixon (26),CIN
RB2,Chase Brown (211),CIN
RB3,Trayveon Williams (237),CIN
WR1,Ja'Marr Chase (3),CIN
WR2,Tee Higgins (28),CIN
WR3,Tyler Boyd (128),CIN
WR4,-,CIN
TE1,Irv Smith Jr. (247),CIN
TE2,-,CIN
K,Evan McPherson (153),CIN
QB1,Anthony Richardson (117),IND
QB2,Gardner Minshew II (335),IND
RB1,Jonathan Taylor (12),IND
RB2,Deon Jackson (279),IND
RB3,Zack Moss (280),IND
WR1,Michael Pittman Jr. (76),IND
WR2,Alec Pierce (205),IND
WR3,Josh Downs (234),IND
WR4,-,IND
TE1,Jelani Woods (185),IND
TE2,-,IND
K,Matt Gay (159),IND
QB1,Russell Wilson (116),DEN
QB2,-,DEN
RB1,Javonte Williams (77),DEN
RB2,Samaje Perine (96),DEN
RB3,Tony Jones Jr. (277),DEN
WR1,Jerry Jeudy (44),DEN
WR2,Courtland Sutton (82),DEN
WR3,Marvin Mims Jr. (198),DEN
WR4,-,DEN
TE1,Greg Dulcich (126),DEN
TE2,-,DEN
K,Brett Maher (223),DEN
QB1,Tua Tagovailoa (111),MIA
QB2,Mike White (343),MIA
RB1,Jeff Wilson Jr. (119),MIA
RB2,Raheem Mostert (120),MIA
RB3,De'Von Achane (184),MIA
WR1,Tyreek Hill (8),MIA
WR2,Jaylen Waddle (21),MIA
WR3,Braxton Berrios (261),MIA
WR4,-,MIA
TE1,Durham Smythe (329),MIA
TE2,-,MIA
K,Jason Sanders (346),MIA
QB1,Deshaun Watson (74),CLE
QB2,-,CLE
RB1,Nick Chubb (19),CLE
RB2,Jerome Ford (202),CLE
RB3,John Kelly (307),CLE
WR1,Amari Cooper (40),CLE
WR2,Elijah Moore (129),CLE
WR3,Donovan Peoples-Jones (218),CLE
WR4,-,CLE
TE1,David Njoku (90),CLE
TE2,-,CLE
K,Cade York (349),CLE
QB1,Trevor Lawrence (75),JAX
QB2,-,JAX
RB1,Travis Etienne Jr. (31),JAX
RB2,Tank Bigsby (194),JAX
RB3,JaMycal Hasty (308),JAX
WR1,Calvin Ridley (50),JAX
WR2,Christian Kirk (79),JAX
WR3,Zay Jones (133),JAX
WR4,Jamal Agnew (295),JAX
TE1,Evan Engram (89),JAX
TE2,-,JAX
K,Brandon McManus (255),JAX
QB1,Justin Herbert (63),LAC
QB2,-,LAC
RB1,Austin Ekeler (2),LAC
RB2,Joshua Kelley (201),LAC
RB3,Isaiah Spiller (241),LAC
WR1,Keenan Allen (39),LAC
WR2,Mike Williams (56),LAC
WR3,Quentin Johnston (122),LAC
WR4,Josh Palmer (294),LAC
TE1,Gerald Everett (140),LAC
TE2,Donald Parham (333),LAC
K,Cameron Dicker (287),LAC
QB1,Aaron Rodgers (112),NYJ
QB2,-,NYJ
RB1,Breece Hall (25),NYJ
RB2,Zonovan Knight (199),NYJ
RB3,Michael Carter (200),NYJ
WR1,Garrett Wilson (15),NYJ
WR2,Allen Lazard (132),NYJ
WR3,Mecole Hardman (226),NYJ
WR4,Corey Davis (232),NYJ
TE1,Tyler Conklin (186),NYJ
TE2,-,NYJ
K,Greg Zuerlein (191),NYJ
QB1,Lamar Jackson (41),BAL
QB2,Tyler Huntley (338),BAL
