depthChart,name rank,team,,,,,
QB1,Josh Allen (27),BUF,,,,,
QB2,-,BUF,,,,,
RB1,James Cook (54),BUF,,,,,
RB2,Damien Harris (164),BUF,,,,,
RB3,Latavius Murray (304),BUF,,,,,
WR1,Stefon Diggs (11),BUF,,,,,
WR2,Gabe Davis (108),BUF,,,,,
WR3,Deonte Harty (252),BUF,,,,,
WR4,-,BUF,,,,,
TE1,Dalton Kincaid (133),BUF,,,,,
TE2,Dawson Knox (257),BUF,,,,,
K,Tyler Bass (157),BUF,,,,,
QB1,Joe Burrow (40),CIN,,,,,
QB2,-,CIN,,,,,
RB1,Joe Mixon (20),CIN,,,,,
RB2,Trayveon Williams (211),CIN,,,,,
RB3,Chris Evans (276),CIN,,,,,
WR1,Ja'Marr Chase (2),CIN,,,,,
WR2,Tee Higgins (23),CIN,,,,,
WR3,Tyler Boyd (136),CIN,,,,,
WR4,-,CIN,,,,,
TE1,Irv Smith Jr. (246),CIN,,,,,
TE2,-,CIN,,,,,
K,Evan McPherson (153),CIN,,,,,
QB1,Anthony Richardson (123),IND,,,,,
QB2,Gardner Minshew II (336),IND,,,,,
RB1,Jonathan Taylor (62),IND,,,,,
RB2,Deon Jackson (166),IND,,,,,
RB3,Evan Hull (167),IND,,,,,
WR1,Michael Pittman Jr. (80),IND,,,,,
WR2,Alec Pierce (196),IND,,,,,
WR3,Josh Downs (261),IND,,,,,
WR4,-,IND,,,,,
TE1,Jelani Woods (313),IND,,,,,
TE2,-,IND,,,,,
K,Matt Gay (159),IND,,,,,
QB1,Russell Wilson (126),DEN,,,,,
QB2,-,DEN,,,,,
RB1,Javonte Williams (61),DEN,,,,,
RB2,Samaje Perine (112),DEN,,,,,
RB3,Jaleel McLaughlin (250),DEN,,,,,
WR1,Jerry Jeudy (65),DEN,,,,,
WR2,Courtland Sutton (83),DEN,,,,,
WR3,Marvin Mims Jr. (198),DEN,,,,,
WR4,-,DEN,,,,,
TE1,Greg Dulcich (188),DEN,,,,,
TE2,-,DEN,,,,,
K,Wil Lutz (352),DEN,,,,,
QB1,Tua Tagovailoa (105),MIA,,,,,
QB2,Mike White (342),MIA,,,,,
RB1,Raheem Mostert (111),MIA,,,,,
RB2,De'Von Achane (162),MIA,,,,,
