rank,"name,team",position
1. (13),"Aaron Rodgers, GB",QB
2. (14),"Drew Brees, NO",QB
3. (21),"Peyton Manning, IND",QB
4. (25),"Tom Brady, NE",QB
5. (35),"Matt Schaub, HOU",QB
6. (43),"Philip Rivers, SD",QB
7. (44),"Tony Romo, DAL",QB
8. (47),"Brett Favre, MIN",QB
9. (80),"Jay Cutler, CHI",QB
10. (82),"Joe Flacco, BAL",QB
11. (90),"Eli Manning, NYG",QB
12. (102),"Donovan McNabb, WAS",QB
13. (117),"Kevin Kolb, PHI",QB
14. (124),"Matt Ryan, ATL",QB
15. (141),"Vince Young, TEN",QB
16. (161),"David Garrard, JAC",QB
17. (172),"Chad Henne, MIA",QB
18. (181),"Matthew Stafford, DET",QB
19. (187),"Kyle Orton, DEN",QB
20. (194),"Jason Campbell, OAK",QB
21. (202),"Carson Palmer, CIN",QB
22. (210),"Ben Roethlisberger, PIT",QB
23. (215),"Mark Sanchez, NYJ",QB
24. (220),"Matt Cassel, KC",QB
25. (225),"Alex Smith, SF",QB
26. (228),"Josh Freeman, TB",QB
27. (233),"Matt Hasselbeck, SEA",QB
28. (238),"Sam Bradford, STL",QB
29. (243),"Matt Moore, CAR",QB
30. (248),"Derek Anderson, ARI",QB
31. (253),"Jake Delhomme, CLE",QB
32. (257),"Trent Edwards, BUF",QB
33. (262),"Michael Vick, PHI",QB
34. (266),"Ryan Fitzpatrick, BUF",QB
35. (271),"Dennis Dixon, PIT",QB
36. (276),"Seneca Wallace, CLE",QB
37. (281),"Brady Quinn, DEN",QB
38. (286),"Charlie Whitehurst, SEA",QB
39. (291),"David Carr, SF",QB
40. (295),"Jimmy Clausen, CAR",QB
1. (17),"Dallas Clark, IND",TE
2. (22),"Antonio Gates, SD",TE
3. (37),"Tony Gonzalez, ATL",TE
4. (40),"Jermichael Finley, GB",TE
5. (42),"Vernon Davis, SF",TE
6. (45),"Jason Witten, DAL",TE
7. (48),"Brent Celek, PHI",TE
8. (56),"Kellen Winslow, TB",TE
9. (58),"Chris Cooley, WAS",TE
10. (67),"Owen Daniels, HOU",TE
11. (98),"Zach Miller, OAK",TE
12. (77),"Visanthe Shiancoe, MIN",TE
13. (127),"Heath Miller, PIT",TE
14. (113),"John Carlson, SEA",TE
15. (123),"Greg Olsen, CHI",TE
16. (165),"Kevin Boss, NYG",TE
17. (196),"Fred Davis, WAS",TE
18. (192),"Jeremy Shockey, NO",TE
19. (226),"Dustin Keller, NYJ",TE
20. (230),"Tony Scheffler, DET",TE
21. (179),"Marcedes Lewis, JAC",TE
22. (205),"Benjamin Watson, CLE",TE
23. (241),"Jermaine Gresham, CIN",TE
24. (245),"Bo Scaife, TEN",TE
25. (237),"Todd Heap, BAL",TE
26. (254),"Anthony Fasano, MIA",TE
27. (249),"Brandon Pettigrew, DET",TE
28. (235),"David Thomas, NO",TE
29. (265),"Shawn Nelson, BUF",TE
30. (270),"Aaron Hernandez, NE",TE
1. (1),"Chris Johnson, TEN",RB
2. (2),"Ray Rice, BAL",RB
3. (3),"Adrian Peterson, MIN",RB
4. (5),"Maurice Jones-Drew, JAC",RB
5. (9),"Steven Jackson, STL",RB
6. (16),"Frank Gore, SF",RB
7. (23),"LeSean McCoy, PHI",RB
8. (27),"Pierre Thomas, NO",RB
9. (29),"Joseph Addai, IND",RB
10. (32),"Jamaal Charles, KC",RB
11. (33),"Rashard Mendenhall, PIT",RB
12. (34),"DeAngelo Williams, CAR",RB
13. (38),"Matt Forte, CHI",RB
14. (41),"Michael Turner, ATL",RB
15. (46),"Ryan Mathews, SD",RB
16. (50),"Ryan Grant, GB",RB
17. (52),"Knowshon Moreno, DEN",RB
18. (53),"Jonathan Stewart, CAR",RB
