"rank,position","name,team"
1. (RB1),"Adrian Peterson, MIN"
2. (RB2),"Arian Foster, HOU"
3. (RB3),"Ray Rice, BAL"
4. (RB4),"Doug Martin, TB"
5. (RB5),"Jamaal Charles, KC"
6. (RB6),"Trent Richardson, CLE"
7. (RB7),"C.J. Spiller, BUF"
8. (RB8),"LeSean McCoy, PHI"
9. (QB1),"Aaron Rodgers, GB"
10. (WR1),"Calvin Johnson, DET"
11. (RB9),"Marshawn Lynch, SEA"
12. (QB2),"Drew Brees, NO"
13. (WR2),"Brandon Marshall, CHI"
14. (RB10),"Steven Jackson, ATL"
15. (WR3),"Dez Bryant, DAL"
16. (RB11),"Darren Sproles, NO"
17. (QB3),"Peyton Manning, DEN"
18. (WR4),"A.J. Green, CIN"
19. (RB12),"Reggie Bush, DET"
20. (RB13),"Matt Forte, CHI"
21. (QB4),"Tom Brady, NE"
22. (RB14),"Alfred Morris, WAS"
23. (WR5),"Andre Johnson, HOU"
24. (QB5),"Cam Newton, CAR"
25. (WR6),"Roddy White, ATL"
26. (WR7),"Randall Cobb, GB"
27. (TE1),"Jimmy Graham, NO"
28. (WR8),"Julio Jones, ATL"
29. (WR9),"Demaryius Thomas, DEN"
30. (RB15),"Darren McFadden, OAK"
31. (RB16),"Maurice Jones-Drew, JAC"
32. (RB17),"Chris Johnson, TEN"
33. (WR10),"Larry Fitzgerald, ARI"
34. (WR11),"Wes Welker, DEN"
35. (TE2),"Rob Gronkowski, NE"
36. (RB18),"Frank Gore, SF"
37. (WR12),"Reggie Wayne, IND"
38. (WR13),"Vincent Jackson, TB"
39. (RB19),"David Wilson, NYG"
40. (QB6),"Matt Ryan, ATL"
41. (WR14),"Victor Cruz, NYG"
42. (WR15),"Marques Colston, NO"
43. (RB20),"DeMarco Murray, DAL"
44. (WR16),"James Jones, GB"
45. (TE3),"Tony Gonzalez, ATL"
46. (WR17),"Mike Wallace, MIA"
47. (QB7),"Colin Kaepernick, SF"
48. (RB21),"Stevan Ridley, NE"
49. (TE4),"Jason Witten, DAL"
50. (RB22),"Lamar Miller, MIA"
51. (WR18),"Steve Smith, CAR"
52. (WR19),"Dwayne Bowe, KC"
53. (RB23),"Ryan Mathews, SD"
54. (WR20),"Steve Johnson, BUF"
55. (RB24),"Eddie Lacy, GB"
56. (QB8),"Matthew Stafford, DET"
57. (WR21),"Antonio Brown, PIT"
58. (RB25),"Shane Vereen, NE"
59. (WR22),"Torrey Smith, BAL"
60. (RB26),"Giovani Bernard, CIN"
61. (WR23),"Eric Decker, DEN"
62. (QB9),"Robert Griffin III, WAS"
63. (WR24),"Jordy Nelson, GB"
64. (WR25),"Anquan Boldin, SF"
65. (RB27),"Daryl Richardson, STL"
66. (QB10),"Tony Romo, DAL"
67. (WR26),"Sidney Rice, SEA"
68. (TE5),"Vernon Davis, SF"
69. (WR27),"Cecil Shorts, JAC"
70. (WR28),"DeSean Jackson, PHI"
71. (RB28),"Ahmad Bradshaw, IND"
72. (QB11),"Russell Wilson, SEA"
73. (WR29),"Greg Jennings, MIN"
74. (WR30),"Danny Amendola, NE"
75. (WR31),"Pierre Garcon, WAS"
76. (QB12),"Andrew Luck, IND"
77. (RB29),"Montee Ball, DEN"
78. (TE6),"Brandon Myers, NYG"
79. (WR32),"Mike Williams, TB"
80. (WR33),"Hakeem Nicks, NYG"
81. (WR34),"Ryan Broyles, DET"
82. (RB30),"DeAngelo Williams, CAR"
83. (WR35),"Kendall Wright, TEN"
84. (RB31),"Rashard Mendenhall, ARI"
85. (WR36),"T.Y. Hilton, IND"
86. (WR37),"Lance Moore, NO"
87. (WR38),"Emmanuel Sanders, PIT"
88. (WR39),"Miles Austin, DAL"
89. (WR40),"Chris Givens, STL"
90. (RB32),"BenJarvus Green-Ellis, CIN"
91. (WR41),"Denarius Moore, OAK"
92. (WR42),"Alshon Jeffery, CHI"
93. (WR43),"Tavon Austin, STL"
94. (RB33),"Chris Ivory, NYJ"
95. (WR44),"Josh Gordon, CLE"
96. (WR45),"Vincent Brown, SD"
97. (WR46),"Golden Tate, SEA"
98. (QB13),"Eli Manning, NYG"
99. (RB34),"Marcel Reece, OAK"
100. (WR47),"Rueben Randle, NYG"
101. (DEF1),"Seahawks D/ST, SEA"
102. (TE7),"Greg Olsen, CAR"
103. (RB35),"Le'Veon Bell, PIT"
104. (QB14),"Matt Schaub, HOU"
105. (TE8),"Jermichael Finley, GB"
106. (RB36),"Jacquizz Rodgers, ATL"
107. (RB37),"Danny Woodhead, SD"
108. (WR48),"Jeremy Kerley, NYJ"
109. (DEF2),"49ers D/ST, SF"
110. (RB38),"Isaiah Pead, STL"
111. (TE9),"Owen Daniels, HOU"
112. (WR49),"Andre Roberts, ARI"
113. (WR50),"Malcom Floyd, SD"
114. (QB15),"Carson Palmer, ARI"
115. (RB39),"Isaac Redman, PIT"
116. (TE10),"Kyle Rudolph, MIN"
117. (RB40),"Vick Ballard, IND"
118. (WR51),"Michael Floyd, ARI"
119. (TE11),"Antonio Gates, SD"
120. (DEF3),"Texans D/ST, HOU"
121. (QB16),"Ben Roethlisberger, PIT"
122. (RB41),"Pierre Thomas, NO"
123. (WR52),"Kenny Britt, TEN"
124. (DEF4),"Bears D/ST, CHI"
125. (TE12),"Jared Cook, STL"
126. (RB42),"Mike Tolbert, CAR"
127. (QB17),"Josh Freeman, TB"
128. (WR53),"DeAndre Hopkins, HOU"
129. (RB43),"Mark Ingram, NO"
130. (TE13),"Martellus Bennett, CHI"
131. (WR54),"Kenbrell Thompkins, NE"
132. (WR55),"Brian Hartline, MIA"
133. (RB44),"Knowshon Moreno, DEN"
134. (WR56),"Nate Burleson, DET"
135. (TE14),"Brandon Pettigrew, DET"
136. (QB18),"Philip Rivers, SD"
137. (WR57),"Jacoby Jones, BAL"
138. (WR58),"Greg Little, CLE"
139. (RB45),"Joique Bell, DET"
140. (WR59),"Justin Blackmon, JAC"
141. (DEF5),"Bengals D/ST, CIN"
142. (RB46),"LaRod Stephens-Howling, PIT"
143. (WR60),"Brandon LaFell, CAR"
144. (TE15),"Jordan Cameron, CLE"
145. (DEF6),"Patriots D/ST, NE"
146. (QB19),"Andy Dalton, CIN"
147. (DEF7),"Broncos D/ST, DEN"
148. (DEF8),"Steelers D/ST, PIT"
149. (DEF9),"Rams D/ST, STL"
150. (DEF10),"Packers D/ST, GB"
151. (K1),"Stephen Gostkowski, NE"
152. (K2),"Blair Walsh, MIN"
153. (K3),"Matt Bryant, ATL"
154. (K4),"Justin Tucker, BAL"
155. (K5),"Matt Prater, DEN"
156. (K6),"Phil Dawson, SF"
157. (K7),"Randy Bullock, HOU"
158. (K8),"Josh Brown, NYG"
159. (K9),"Sebastian Janikowski, OAK"
160. (K10),"David Akers, DET"
161. (WR61),"Nate Washington, TEN"
162. (RB47),"Roy Helu, WAS"
163. (TE16),"Fred Davis, WAS"
164. (WR62),"Jason Avant, PHI"
165. (WR63),"Davone Bess, CLE"
166. (TE17),"Dwayne Allen, IND"
167. (RB48),"Ronnie Hillman, DEN"
168. (QB20),"Sam Bradford, STL"
169. (WR64),"Donnie Avery, KC"
170. (WR65),"Dexter McCluster, KC"
171. (TE18),"Heath Miller, PIT"
172. (WR66),"Santana Moss, WAS"
173. (QB21),"Ryan Tannehill, MIA"
174. (RB49),"Mike Goodson, NYJ"
175. (WR67),"Robert Woods, BUF"
176. (TE19),"Julius Thomas, DEN"
177. (TE20),"Marcedes Lewis, JAC"
178. (WR68),"Aaron Dobson, NE"
179. (RB50),"Kendall Hunter, SF"
180. (WR69),"Darrius Heyward-Bey, IND"
181. (TE21),"Jermaine Gresham, CIN"
182. (RB51),"Bilal Powell, NYJ"
183. (WR70),"Julian Edelman, NE"
184. (DEF11),"Ravens D/ST, BAL"
185. (WR71),"Eddie Royal, SD"
186. (QB22),"Joe Flacco, BAL"
187. (RB52),"Ben Tate, HOU"
188. (WR72),"Rod Streater, OAK"
189. (DEF12),"Cowboys D/ST, DAL"
190. (TE22),"Brent Celek, PHI"
191. (WR73),"Mohamed Sanu, CIN"
192. (WR74),"Jarius Wright, MIN"
193. (QB23),"Jay Cutler, CHI"
194. (TE23),"Coby Fleener, IND"
195. (RB53),"Fred Jackson, BUF"
196. (WR75),"Josh Morgan, WAS"
197. (TE24),"Tyler Eifert, CIN"
198. (RB54),"Michael Bush, CHI"
199. (WR76),"Brandon Gibson, MIA"
200. (DEF13),"Dolphins D/ST, MIA"
201. (QB24),"Michael Vick, PHI"
202. (RB55),"Shonn Greene, TEN"
203. (WR77),"Riley Cooper, PHI"
204. (TE25),"Rob Housler, ARI"
205. (RB56),"Andre Brown, NYG"
206. (RB57),"Bryce Brown, PHI"
207. (WR78),"Jacoby Ford, OAK"
208. (TE26),"Zach Miller, SEA"
209. (K11),"Dan Bailey, DAL"
210. (RB58),"Christine Michael, SEA"
211. (TE27),"Zach Ertz, PHI"
212. (DEF14),"Buccaneers D/ST, TB"
213. (WR79),"Doug Baldwin, SEA"
214. (K12),"Greg Zuerlein, STL"
215. (TE28),"Dallas Clark, BAL"
