positionRank,NameTeam
1. (RB1),"David Johnson, ARI"
2. (RB2),"Le'Veon Bell, PIT"
3. (WR1),"Antonio Brown, PIT"
4. (RB3),"Ezekiel Elliott, DAL"
5. (WR2),"Odell Beckham Jr., NYG"
6. (WR3),"Julio Jones, ATL"
7. (WR4),"Jordy Nelson, GB"
8. (WR5),"Mike Evans, TB"
9. (RB4),"LeSean McCoy, BUF"
10. (WR6),"A.J. Green, CIN"
11. (WR7),"Michael Thomas, NO"
12. (RB5),"Devonta Freeman, ATL"
13. (RB6),"Melvin Gordon, LAC"
14. (WR8),"Brandin Cooks, NE"
15. (RB7),"Jordan Howard, CHI"
16. (RB8),"DeMarco Murray, TEN"
17. (WR9),"Doug Baldwin, SEA"
18. (RB9),"Jay Ajayi, MIA"
19. (RB10),"Todd Gurley, LAR"
20. (WR10),"Amari Cooper, OAK"
21. (WR11),"T.Y. Hilton, IND"
22. (TE1),"Rob Gronkowski, NE"
23. (WR12),"Dez Bryant, DAL"
24. (RB11),"Leonard Fournette, JAC"
25. (WR13),"Demaryius Thomas, DEN"
26. (WR14),"Terrelle Pryor Sr., WAS"
27. (RB12),"Lamar Miller, HOU"
28. (WR15),"DeAndre Hopkins, HOU"
29. (WR16),"Alshon Jeffery, PHI"
30. (RB13),"Isaiah Crowell, CLE"
31. (WR17),"Michael Crabtree, OAK"
32. (RB14),"Kareem Hunt, KC"
33. (WR18),"Keenan Allen, LAC"
34. (WR19),"Golden Tate, DET"
35. (RB15),"Christian McCaffrey, CAR"
36. (RB16),"Carlos Hyde, SF"
37. (WR20),"Larry Fitzgerald, ARI"
38. (RB17),"Marshawn Lynch, OAK"
39. (RB18),"Ty Montgomery, GB"
40. (TE2),"Jordan Reed, WAS"
41. (RB19),"Dalvin Cook, MIN"
42. (WR21),"Davante Adams, GB"
43. (WR22),"Emmanuel Sanders, DEN"
44. (QB1),"Tom Brady, NE"
45. (QB2),"Aaron Rodgers, GB"
46. (WR23),"Jarvis Landry, MIA"
47. (WR24),"Kelvin Benjamin, CAR"
48. (TE3),"Travis Kelce, KC"
49. (WR25),"Jamison Crowder, WAS"
50. (RB20),"Bilal Powell, NYJ"
51. (RB21),"Danny Woodhead, BAL"
52. (WR26),"Allen Robinson, JAC"
