position rank,name team
1. (RB1),"Christian McCaffrey, CAR"
2. (RB2),"Saquon Barkley, NYG"
3. (RB3),"Ezekiel Elliott, DAL"
4. (RB4),"Dalvin Cook, MIN"
5. (RB5),"Alvin Kamara, NO"
6. (WR1),"Michael Thomas, NO"
7. (RB6),"Derrick Henry, TEN"
8. (RB7),"Clyde Edwards-Helaire, KC"
9. (RB8),"Miles Sanders, PHI"
10. (RB9),"Kenyan Drake, ARI"
11. (RB10),"Josh Jacobs, LV"
12. (RB11),"Nick Chubb, CLE"
13. (RB12),"Austin Ekeler, LAC"
14. (RB13),"Joe Mixon, CIN"
15. (RB14),"Aaron Jones, GB"
16. (WR2),"Davante Adams, GB"
17. (WR3),"Julio Jones, ATL"
18. (WR4),"Tyreek Hill, KC"
19. (WR5),"DeAndre Hopkins, ARI"
20. (TE1),"Travis Kelce, KC"
21. (WR6),"Chris Godwin, TB"
22. (WR7),"Mike Evans, TB"
23. (TE2),"George Kittle, SF"
24. (WR8),"Kenny Golladay, DET"
25. (WR9),"DJ Moore, CAR"
26. (WR10),"Adam Thielen, MIN"
27. (WR11),"Allen Robinson II, CHI"
28. (WR12),"Amari Cooper, DAL"
29. (WR13),"JuJu Smith-Schuster, PIT"
30. (WR14),"Odell Beckham Jr., CLE"
31. (WR15),"Courtland Sutton, DEN"
32. (WR16),"Calvin Ridley, ATL"
33. (WR17),"A.J. Brown, TEN"
34. (QB1),"Lamar Jackson, BAL"
35. (QB2),"Patrick Mahomes, KC"
36. (WR18),"Robert Woods, LAR"
37. (WR19),"Tyler Lockett, SEA"
38. (WR20),"Cooper Kupp, LAR"
39. (RB15),"Chris Carson, SEA"
40. (RB16),"David Johnson, HOU"
41. (TE3),"Mark Andrews, BAL"
42. (TE4),"Zach Ertz, PHI"
43. (RB17),"Todd Gurley II, ATL"
44. (RB18),"James Conner, PIT"
45. (RB19),"Melvin Gordon, DEN"
46. (RB20),"Jonathan Taylor, IND"
47. (RB21),"Le'Veon Bell, NYJ"
48. (RB22),"Cam Akers, LAR"
49. (RB23),"Kareem Hunt, CLE"
50. (WR21),"Terry McLaurin, WAS"
51. (WR22),"Keenan Allen, LAC"
52. (WR23),"T.Y. Hilton, IND"
53. (WR24),"Jarvis Landry, CLE"
54. (WR25),"DJ Chark Jr., JAC"
55. (WR26),"DK Metcalf, SEA"
56. (RB24),"Antonio Gibson, WAS"
57. (RB25),"Devin Singletary, BUF"
58. (RB26),"David Montgomery, CHI"
59. (RB27),"Raheem Mostert, SF"
60. (RB28),"Tarik Cohen, CHI"
61. (WR27),"DeVante Parker, MIA"
62. (WR28),"Tyler Boyd, CIN"
63. (WR29),"A.J. Green, CIN"
64. (WR30),"Michael Gallup, DAL"
65. (WR31),"Stefon Diggs, BUF"
66. (WR32),"Will Fuller V, HOU"
67. (WR33),"Marquise Brown, BAL"
68. (WR34),"Deebo Samuel, SF"
69. (TE5),"Darren Waller, LV"
70. (RB29),"Mark Ingram II, BAL"
71. (RB30),"Ronald Jones II, TB"
72. (RB31),"Leonard Fournette, TB"
73. (QB3),"Deshaun Watson, HOU"
74. (QB4),"Kyler Murray, ARI"
75. (QB5),"Dak Prescott, DAL"
76. (QB6),"Russell Wilson, SEA"
77. (WR35),"Julian Edelman, NE"
78. (WR36),"Sterling Shepard, NYG"
79. (WR37),"Marvin Jones Jr., DET"
80. (WR38),"Brandin Cooks, HOU"
81. (WR39),"Diontae Johnson, PIT"
82. (TE6),"Evan Engram, NYG"
83. (TE7),"Tyler Higbee, LAR"
84. (RB32),"D'Andre Swift, DET"
85. (RB33),"Kerryon Johnson, DET"
86. (RB34),"Phillip Lindsay, DEN"
87. (RB35),"James White, NE"
88. (RB36),"Jordan Howard, MIA"
89. (RB37),"Matt Breida, MIA"
90. (RB38),"J.K. Dobbins, BAL"
91. (RB39),"Zack Moss, BUF"
92. (RB40),"Darrell Henderson Jr., LAR"
93. (WR40),"Jamison Crowder, NYJ"
94. (WR41),"Christian Kirk, ARI"
95. (WR42),"Preston Williams, MIA"
96. (WR43),"Golden Tate, NYG"
97. (WR44),"Darius Slayton, NYG"
98. (WR45),"Robby Anderson, CAR"
99. (WR46),"John Brown, BUF"
100. (WR47),"Emmanuel Sanders, NO"
101. (WR48),"Henry Ruggs III, LV"
102. (WR49),"Jerry Jeudy, DEN"
103. (RB41),"Duke Johnson, HOU"
104. (RB42),"Tevin Coleman, SF"
105. (RB43),"Alexander Mattison, MIN"
106. (WR50),"DeSean Jackson, PHI"
107. (WR51),"Breshad Perriman, NYJ"
108. (WR52),"Mike Williams, LAC"
109. (WR53),"CeeDee Lamb, DAL"
110. (TE8),"Hunter Henry, LAC"
111. (TE9),"Jared Cook, NO"
112. (TE10),"Noah Fant, DEN"
113. (TE11),"Rob Gronkowski, TB"
114. (TE12),"Hayden Hurst, ATL"
115. (TE13),"T.J. Hockenson, DET"
