Rank,NameTeam,Position
1. (34),"Lamar Jackson, BAL",QB
2. (35),"Patrick Mahomes, KC",QB
3. (73),"Deshaun Watson, HOU",QB
4. (74),"Kyler Murray, ARI",QB
5. (75),"Dak Prescott, DAL",QB
6. (76),"Russell Wilson, SEA",QB
7. (116),"Matt Ryan, ATL",QB
8. (117),"Tom Brady, TB",QB
9. (118),"Carson Wentz, PHI",QB
10. (119),"Josh Allen, BUF",QB
11. (120),"Drew Brees, NO",QB
12. (121),"Matthew Stafford, DET",QB
13. (122),"Aaron Rodgers, GB",QB
14. (137),"Daniel Jones, NYG",QB
15. (138),"Ben Roethlisberger, PIT",QB
16. (164),"Cam Newton, NE",QB
17. (165),"Ryan Tannehill, TEN",QB
18. (166),"Jared Goff, LAR",QB
19. (167),"Baker Mayfield, CLE",QB
20. (168),"Jimmy Garoppolo, SF",QB
21. (212),"Kirk Cousins, MIN",QB
22. (219),"Joe Burrow, CIN",QB
23. (220),"Drew Lock, DEN",QB
24. (243),"Gardner Minshew II, JAC",QB
25. (244),"Derek Carr, LV",QB
26. (245),"Philip Rivers, IND",QB
27. (266),"Sam Darnold, NYJ",QB
28. (267),"Teddy Bridgewater, CAR",QB
29. (268),"Tua Tagovailoa, MIA",QB
30. (269),"Dwayne Haskins Jr., WAS",QB
31. (270),"Justin Herbert, LAC",QB
32. (296),"Nick Foles, CHI",QB
33. (301),"Jarrett Stidham, NE",QB
34. (302),"Ryan Fitzpatrick, MIA",QB
35. (310),"Tyrod Taylor, LAC",QB
36. (315),"Mitchell Trubisky, CHI",QB
37. (316),"Marcus Mariota, LV",QB
38. (317),"Jalen Hurts, PHI",QB
39. (318),"Jameis Winston, NO",QB
40. (319),"Case Keenum, CLE",QB
1. (20),"Travis Kelce, KC",TE
2. (23),"George Kittle, SF",TE
3. (41),"Mark Andrews, BAL",TE
4. (42),"Zach Ertz, PHI",TE
5. (69),"Darren Waller, LV",TE
6. (82),"Evan Engram, NYG",TE
7. (83),"Tyler Higbee, LAR",TE
8. (110),"Hunter Henry, LAC",TE
9. (111),"Jared Cook, NO",TE
10. (112),"Noah Fant, DEN",TE
11. (113),"Rob Gronkowski, TB",TE
12. (114),"Hayden Hurst, ATL",TE
13. (115),"T.J. Hockenson, DET",TE
14. (134),"Mike Gesicki, MIA",TE
15. (135),"Chris Herndon, NYJ",TE
16. (136),"Austin Hooper, CLE",TE
17. (161),"Jack Doyle, IND",TE
18. (162),"Eric Ebron, PIT",TE
19. (163),"Dallas Goedert, PHI",TE
20. (193),"Jonnu Smith, TEN",TE
21. (210),"Irv Smith Jr., MIN",TE
22. (211),"Blake Jarwin, DAL",TE
23. (246),"Ian Thomas, CAR",TE
24. (247),"Jace Sternberger, GB",TE
25. (248),"Jimmy Graham, CHI",TE
26. (249),"Tyler Eifert, JAC",TE
27. (257),"Dawson Knox, BUF",TE
28. (258),"Kyle Rudolph, MIN",TE
29. (259),"Greg Olsen, SEA",TE
30. (289),"Will Dissly, SEA",TE
31. (290),"Gerald Everett, LAR",TE
32. (291),"Dan Arnold, ARI",TE
33. (292),"C.J. Uzomah, CIN",TE
34. (293),"O.J. Howard, TB",TE
35. (311),"David Njoku, CLE",TE
1. (1),"Christian McCaffrey, CAR",RB
2. (2),"Saquon Barkley, NYG",RB
3. (3),"Ezekiel Elliott, DAL",RB
4. (4),"Dalvin Cook, MIN",RB
5. (5),"Alvin Kamara, NO",RB
6. (7),"Derrick Henry, TEN",RB
7. (8),"Miles Sanders, PHI",RB
8. (9),"Clyde Edwards-Helaire, KC",RB
9. (10),"Kenyan Drake, ARI",RB
10. (11),"Nick Chubb, CLE",RB
11. (12),"Josh Jacobs, LV",RB
12. (13),"Aaron Jones, GB",RB
13. (14),"Austin Ekeler, LAC",RB
14. (15),"Joe Mixon, CIN",RB
15. (39),"Chris Carson, SEA",RB
16. (40),"Leonard Fournette, JAC",RB
17. (43),"David Johnson, HOU",RB
18. (44),"Todd Gurley II, ATL",RB
19. (45),"Le'Veon Bell, NYJ",RB
20. (46),"Melvin Gordon, DEN",RB
21. (47),"James Conner, PIT",RB
22. (48),"Jonathan Taylor, IND",RB
23. (49),"Devin Singletary, BUF",RB
24. (56),"D'Andre Swift, DET",RB
25. (57),"Kareem Hunt, CLE",RB
26. (58),"David Montgomery, CHI",RB
27. (59),"Cam Akers, LAR",RB
28. (60),"Ronald Jones II, TB",RB
29. (70),"Raheem Mostert, SF",RB
30. (71),"Tarik Cohen, CHI",RB
31. (72),"Mark Ingram II, BAL",RB
32. (84),"Kerryon Johnson, DET",RB
33. (85),"Darrell Henderson Jr., LAR",RB
34. (86),"Phillip Lindsay, DEN",RB
35. (87),"James White, NE",RB
36. (88),"Jordan Howard, MIA",RB
37. (89),"Matt Breida, MIA",RB
38. (90),"J.K. Dobbins, BAL",RB
39. (91),"Zack Moss, BUF",RB
40. (92),"Tevin Coleman, SF",RB
41. (103),"Latavius Murray, NO",RB
42. (104),"Alexander Mattison, MIN",RB
43. (105),"Tony Pollard, DAL",RB
44. (128),"Duke Johnson, HOU",RB
45. (129),"Antonio Gibson, WAS",RB
46. (130),"Nyheim Hines, IND",RB
47. (131),"Marlon Mack, IND",RB
48. (132),"Ke'Shawn Vaughn, TB",RB
49. (133),"Justin Jackson, LAC",RB
50. (139),"Damien Harris, NE",RB
51. (140),"Boston Scott, PHI",RB
52. (141),"Adrian Peterson, WAS",RB
53. (142),"Jerick McKinnon, SF",RB
54. (143),"Chase Edmonds, ARI",RB
55. (155),"AJ Dillon, GB",RB
56. (156),"Ryquell Armstead, JAC",RB
57. (157),"Carlos Hyde, SEA",RB
58. (158),"Benny Snell Jr., PIT",RB
59. (159),"Darrel Williams, KC",RB
60. (160),"Joshua Kelley, LAC",RB
61. (199),"Sony Michel, NE",RB
62. (200),"Darrynton Evans, TEN",RB
63. (201),"Anthony McFarland Jr., PIT",RB
64. (202),"LeSean McCoy, TB",RB
65. (203),"Jamaal Williams, GB",RB
66. (204),"Giovani Bernard, CIN",RB
67. (205),"Bryce Love, WAS",RB
68. (206),"DeAndre Washington, KC",RB
69. (207),"La'Mical Perine, NYJ",RB
70. (208),"Lamar Miller, NE",RB
71. (209),"Rashaad Penny, SEA",RB
72. (235),"Ito Smith, ATL",RB
73. (236),"Brian Hill, ATL",RB
74. (237),"Malcolm Brown, LAR",RB
