position rank,name team
1. (RB1),"Christian McCaffrey, CAR"
2. (RB2),"Dalvin Cook, MIN"
3. (RB3),"Saquon Barkley, NYG"
4. (RB4),"Alvin Kamara, NO"
5. (RB5),"Derrick Henry, TEN"
6. (TE1),"Travis Kelce, KC"
7. (WR1),"Davante Adams, GB"
8. (RB6),"Ezekiel Elliott, DAL"
9. (RB7),"Jonathan Taylor, IND"
10. (RB8),"Austin Ekeler, LAC"
11. (RB9),"Aaron Jones, GB"
12. (RB10),"Nick Chubb, CLE"
13. (WR2),"Tyreek Hill, KC"
14. (RB11),"Antonio Gibson, WAS"
15. (RB12),"Najee Harris, PIT"
16. (WR3),"Stefon Diggs, BUF"
17. (WR4),"DeAndre Hopkins, ARI"
18. (WR5),"Calvin Ridley, ATL"
19. (WR6),"DK Metcalf, SEA"
20. (WR7),"A.J. Brown, TEN"
21. (WR8),"Justin Jefferson, MIN"
22. (RB13),"Joe Mixon, CIN"
23. (RB14),"Clyde Edwards-Helaire, KC"
24. (TE2),"Darren Waller, LV"
25. (WR9),"Terry McLaurin, WAS"
26. (WR10),"Keenan Allen, LAC"
27. (WR11),"Allen Robinson II, CHI"
28. (WR12),"CeeDee Lamb, DAL"
29. (TE3),"George Kittle, SF"
30. (RB15),"James Robinson, JAC"
31. (RB16),"David Montgomery, CHI"
32. (RB17),"Miles Sanders, PHI"
33. (WR13),"Robert Woods, LAR"
34. (WR14),"Mike Evans, TB"
35. (WR15),"Amari Cooper, DAL"
36. (RB18),"D'Andre Swift, DET"
37. (RB19),"J.K. Dobbins, BAL"
38. (WR16),"Adam Thielen, MIN"
39. (WR17),"Chris Godwin, TB"
40. (WR18),"Tyler Lockett, SEA"
41. (WR19),"Diontae Johnson, PIT"
42. (WR20),"Cooper Kupp, LAR"
43. (WR21),"Julio Jones, TEN"
44. (WR22),"DJ Moore, CAR"
45. (WR23),"Brandon Aiyuk, SF"
46. (WR24),"Tee Higgins, CIN"
47. (RB20),"Chris Carson, SEA"
48. (RB21),"Josh Jacobs, LV"
49. (QB1),"Patrick Mahomes, KC"
50. (QB2),"Josh Allen, BUF"
51. (RB22),"Chase Edmonds, ARI"
52. (RB23),"Javonte Williams, DEN"
53. (RB24),"Kareem Hunt, CLE"
54. (RB25),"Myles Gaskin, MIA"
55. (WR25),"Kenny Golladay, NYG"
56. (WR26),"Courtland Sutton, DEN"
57. (WR27),"Odell Beckham Jr., CLE"
58. (WR28),"JuJu Smith-Schuster, PIT"
59. (WR29),"Robby Anderson, CAR"
60. (TE4),"Mark Andrews, BAL"
61. (TE5),"T.J. Hockenson, DET"
62. (TE6),"Kyle Pitts, ATL"
63. (QB3),"Kyler Murray, ARI"
64. (WR30),"Jerry Jeudy, DEN"
65. (WR31),"Chase Claypool, PIT"
66. (WR32),"Ja'Marr Chase, CIN"
67. (QB4),"Dak Prescott, DAL"
68. (QB5),"Lamar Jackson, BAL"
69. (RB26),"Mike Davis, ATL"
70. (RB27),"Damien Harris, NE"
71. (RB28),"Sony Michel, LAR"
72. (WR33),"Will Fuller V, MIA"
73. (WR34),"Brandin Cooks, HOU"
74. (WR35),"Tyler Boyd, CIN"
75. (WR36),"Laviska Shenault Jr., JAC"
76. (WR37),"Michael Gallup, DAL"
77. (TE7),"Logan Thomas, WAS"
78. (WR38),"DeVonta Smith, PHI"
79. (WR39),"Deebo Samuel, SF"
80. (QB6),"Aaron Rodgers, GB"
81. (QB7),"Russell Wilson, SEA"
82. (QB8),"Justin Herbert, LAC"
83. (TE8),"Noah Fant, DEN"
84. (WR40),"Michael Thomas, NO"
85. (WR41),"DJ Chark Jr., JAC"
86. (WR42),"Marvin Jones Jr., JAC"
87. (WR43),"Corey Davis, NYJ"
88. (WR44),"Marquise Brown, BAL"
89. (WR45),"Jarvis Landry, CLE"
90. (WR46),"Curtis Samuel, WAS"
91. (WR47),"Mike Williams, LAC"
92. (WR48),"Antonio Brown, TB"
93. (RB29),"Darrell Henderson Jr., LAR"
94. (RB30),"Raheem Mostert, SF"
95. (WR49),"Jaylen Waddle, MIA"
96. (WR50),"Henry Ruggs III, LV"
97. (RB31),"Leonard Fournette, TB"
98. (RB32),"Kenyan Drake, LV"
99. (RB33),"Zack Moss, BUF"
100. (RB34),"Melvin Gordon, DEN"
101. (RB35),"AJ Dillon, GB"
102. (RB36),"James Conner, ARI"
103. (RB37),"Michael Carter, NYJ"
104. (RB38),"Jamaal Williams, DET"
105. (TE9),"Dallas Goedert, PHI"
106. (TE10),"Robert Tonyan, GB"
107. (TE11),"Jonnu Smith, NE"
108. (TE12),"Mike Gesicki, MIA"
109. (QB9),"Tom Brady, TB"
110. (RB39),"Ronald Jones II, TB"
