position rank,name team
1. (WR1),"Justin Jefferson, MIN"
2. (RB1),"Austin Ekeler, LAC"
3. (WR2),"Ja'Marr Chase, CIN"
4. (RB2),"Christian McCaffrey, SF"
5. (TE1),"Travis Kelce, KC"
6. (WR3),"Cooper Kupp, LAR"
7. (RB3),"Bijan Robinson, ATL"
8. (WR4),"Tyreek Hill, MIA"
9. (RB4),"Saquon Barkley, NYG"
10. (RB5),"Derrick Henry, TEN"
11. (WR5),"Davante Adams, LV"
12. (RB6),"Jonathan Taylor, IND"
13. (WR6),"Stefon Diggs, BUF"
14. (WR7),"CeeDee Lamb, DAL"
15. (WR8),"Garrett Wilson, NYJ"
16. (WR9),"Amon-Ra St. Brown, DET"
17. (WR10),"A.J. Brown, PHI"
18. (RB7),"Josh Jacobs, LV"
19. (RB8),"Nick Chubb, CLE"
20. (RB9),"Tony Pollard, DAL"
21. (WR11),"Jaylen Waddle, MIA"
22. (QB1),"Patrick Mahomes, KC"
23. (QB2),"Josh Allen, BUF"
24. (QB3),"Jalen Hurts, PHI"
25. (RB10),"Breece Hall, NYJ"
26. (RB11),"Joe Mixon, CIN"
27. (WR12),"DK Metcalf, SEA"
28. (WR13),"Tee Higgins, CIN"
29. (WR14),"DeVonta Smith, PHI"
30. (RB12),"Rhamondre Stevenson, NE"
31. (RB13),"Travis Etienne Jr., JAC"
32. (RB14),"Najee Harris, PIT"
33. (RB15),"Aaron Jones, GB"
34. (RB16),"Jahmyr Gibbs, DET"
35. (RB17),"Dameon Pierce, HOU"
36. (RB18),"Rachaad White, TB"
37. (WR15),"Chris Olave, NO"
38. (WR16),"Deebo Samuel, SF"
39. (WR17),"Keenan Allen, LAC"
40. (WR18),"Amari Cooper, CLE"
41. (QB4),"Lamar Jackson, BAL"
42. (QB5),"Joe Burrow, CIN"
43. (TE2),"Mark Andrews, BAL"
44. (WR19),"Jerry Jeudy, DEN"
45. (WR20),"Chris Godwin, TB"
46. (WR21),"Christian Watson, GB"
47. (RB19),"Alvin Kamara, NO"
48. (RB20),"Miles Sanders, CAR"
49. (TE3),"T.J. Hockenson, MIN"
50. (WR22),"Calvin Ridley, JAC"
51. (WR23),"Diontae Johnson, PIT"
52. (WR24),"DeAndre Hopkins, TEN"
53. (WR25),"DJ Moore, CHI"
54. (WR26),"Mike Evans, TB"
55. (WR27),"Terry McLaurin, WAS"
56. (WR28),"Mike Williams, LAC"
57. (WR29),"Marquise Brown, ARI"
58. (TE4),"Darren Waller, NYG"
59. (RB21),"James Conner, ARI"
60. (RB22),"Alexander Mattison, MIN"
61. (RB23),"Cam Akers, LAR"
62. (QB6),"Justin Fields, CHI"
63. (QB7),"Justin Herbert, LAC"
64. (WR30),"Tyler Lockett, SEA"
65. (RB24),"Ken Walker III, SEA"
66. (RB25),"Isiah Pacheco, KC"
67. (WR31),"Drake London, ATL"
68. (WR32),"Brandon Aiyuk, SF"
69. (RB26),"James Cook, BUF"
70. (RB27),"Dalvin Cook, FA"
71. (TE5),"George Kittle, SF"
72. (TE6),"Kyle Pitts, ATL"
73. (TE7),"Dallas Goedert, PHI"
74. (QB8),"Deshaun Watson, CLE"
75. (QB9),"Trevor Lawrence, JAC"
76. (WR33),"Michael Pittman Jr., IND"
77. (RB28),"Javonte Williams, DEN"
78. (RB29),"David Montgomery, DET"
79. (WR34),"Christian Kirk, JAC"
80. (WR35),"George Pickens, PIT"
81. (WR36),"Michael Thomas, NO"
82. (WR37),"Courtland Sutton, DEN"
83. (RB30),"J.K. Dobbins, BAL"
84. (WR38),"Brandin Cooks, DAL"
85. (WR39),"Treylon Burks, TEN"
86. (WR40),"Jahan Dotson, WAS"
87. (WR41),"Jaxon Smith-Njigba, SEA"
88. (TE8),"Pat Freiermuth, PIT"
89. (TE9),"Evan Engram, JAC"
90. (TE10),"David Njoku, CLE"
91. (QB10),"Dak Prescott, DAL"
92. (QB11),"Kirk Cousins, MIN"
93. (QB12),"Daniel Jones, NYG"
94. (RB31),"D'Andre Swift, PHI"
95. (RB32),"AJ Dillon, GB"
96. (RB33),"Samaje Perine, DEN"
97. (WR42),"Jakobi Meyers, LV"
98. (WR43),"Jordan Addison, MIN"
99. (WR44),"JuJu Smith-Schuster, NE"
100. (WR45),"Odell Beckham Jr., BAL"
101. (TE11),"Cole Kmet, CHI"
102. (TE12),"Dalton Schultz, HOU"
103. (RB34),"Brian Robinson Jr., WAS"
104. (RB35),"Antonio Gibson, WAS"
105. (RB36),"Jamaal Williams, NO"
