position rank,name team
1. (WR1),"Justin Jefferson, MIN"
2. (WR2),"Ja'Marr Chase, CIN"
3. (RB1),"Austin Ekeler, LAC"
4. (RB2),"Christian McCaffrey, SF"
5. (TE1),"Travis Kelce, KC"
6. (WR3),"Tyreek Hill, MIA"
7. (WR4),"Davante Adams, LV"
8. (RB3),"Bijan Robinson, ATL"
9. (RB4),"Saquon Barkley, NYG"
10. (RB5),"Derrick Henry, TEN"
11. (WR5),"Stefon Diggs, BUF"
12. (RB6),"Tony Pollard, DAL"
13. (WR6),"Cooper Kupp, LAR"
14. (RB7),"Nick Chubb, CLE"
15. (WR7),"CeeDee Lamb, DAL"
16. (WR8),"Garrett Wilson, NYJ"
17. (WR9),"Amon-Ra St. Brown, DET"
18. (WR10),"A.J. Brown, PHI"
19. (RB8),"Josh Jacobs, LV"
20. (RB9),"Joe Mixon, CIN"
21. (WR11),"Jaylen Waddle, MIA"
22. (WR12),"DK Metcalf, SEA"
23. (WR13),"Tee Higgins, CIN"
24. (WR14),"Chris Olave, NO"
25. (WR15),"DeVonta Smith, PHI"
26. (QB1),"Patrick Mahomes, KC"
27. (QB2),"Josh Allen, BUF"
28. (QB3),"Jalen Hurts, PHI"
29. (RB10),"Travis Etienne Jr., JAC"
30. (RB11),"Najee Harris, PIT"
31. (RB12),"Jahmyr Gibbs, DET"
32. (RB13),"Aaron Jones, GB"
33. (RB14),"Rhamondre Stevenson, NE"
34. (RB15),"Dameon Pierce, HOU"
35. (WR16),"Deebo Samuel, SF"
36. (WR17),"Calvin Ridley, JAC"
37. (WR18),"Keenan Allen, LAC"
38. (TE2),"Mark Andrews, BAL"
39. (QB4),"Lamar Jackson, BAL"
40. (QB5),"Joe Burrow, CIN"
41. (WR19),"Amari Cooper, CLE"
42. (WR20),"Christian Watson, GB"
43. (WR21),"DeAndre Hopkins, TEN"
44. (WR22),"Chris Godwin, TB"
45. (WR23),"Diontae Johnson, PIT"
46. (RB16),"Breece Hall, NYJ"
47. (RB17),"Rachaad White, TB"
48. (RB18),"Alvin Kamara, NO"
49. (TE3),"T.J. Hockenson, MIN"
50. (RB19),"Miles Sanders, CAR"
51. (RB20),"James Conner, ARI"
52. (RB21),"Ken Walker III, SEA"
53. (RB22),"Alexander Mattison, MIN"
54. (RB23),"James Cook, BUF"
55. (QB6),"Justin Herbert, LAC"
56. (QB7),"Justin Fields, CHI"
57. (WR24),"DJ Moore, CHI"
58. (WR25),"Mike Evans, TB"
59. (WR26),"Mike Williams, LAC"
60. (WR27),"Terry McLaurin, WAS"
61. (RB24),"Javonte Williams, DEN"
62. (RB25),"Jonathan Taylor, IND"
63. (RB26),"Cam Akers, LAR"
64. (TE4),"Darren Waller, NYG"
65. (WR28),"Jerry Jeudy, DEN"
66. (WR29),"Marquise Brown, ARI"
67. (WR30),"Tyler Lockett, SEA"
68. (WR31),"Drake London, ATL"
69. (WR32),"Brandon Aiyuk, SF"
70. (TE5),"George Kittle, SF"
71. (TE6),"Kyle Pitts, ATL"
72. (TE7),"Dallas Goedert, PHI"
73. (QB8),"Deshaun Watson, CLE"
74. (QB9),"Trevor Lawrence, JAC"
75. (RB27),"David Montgomery, DET"
76. (RB28),"Isiah Pacheco, KC"
77. (RB29),"J.K. Dobbins, BAL"
78. (RB30),"Dalvin Cook, NYJ"
79. (WR33),"Christian Kirk, JAC"
80. (WR34),"Michael Pittman Jr., IND"
81. (WR35),"George Pickens, PIT"
82. (WR36),"Brandin Cooks, DAL"
83. (WR37),"Courtland Sutton, DEN"
84. (WR38),"Jahan Dotson, WAS"
85. (WR39),"Jaxon Smith-Njigba, SEA"
86. (WR40),"Skyy Moore, KC"
87. (RB31),"Khalil Herbert, CHI"
88. (RB32),"AJ Dillon, GB"
89. (RB33),"D'Andre Swift, PHI"
90. (RB34),"Brian Robinson Jr., WAS"
91. (RB35),"Antonio Gibson, WAS"
92. (TE8),"Pat Freiermuth, PIT"
93. (TE9),"Evan Engram, JAC"
94. (TE10),"David Njoku, CLE"
95. (TE11),"Cole Kmet, CHI"
96. (WR41),"Jordan Addison, MIN"
97. (WR42),"Treylon Burks, TEN"
98. (WR43),"Michael Thomas, NO"
99. (WR44),"Jakobi Meyers, LV"
100. (WR45),"JuJu Smith-Schuster, NE"
101. (WR46),"Odell Beckham Jr., BAL"
102. (QB10),"Dak Prescott, DAL"
103. (QB11),"Kirk Cousins, MIN"
104. (QB12),"Daniel Jones, NYG"
105. (QB13),"Tua Tagovailoa, MIA"
106. (WR47),"Zay Flowers, BAL"
107. (WR48),"Quentin Johnston, LAC"
108. (WR49),"Gabe Davis, BUF"
109. (WR50),"Rondale Moore, ARI"
110. (RB36),"Jamaal Williams, NO"
111. (RB37),"Raheem Mostert, MIA"
112. (RB38),"Samaje Perine, DEN"
113. (RB39),"Rashaad Penny, PHI"
114. (RB40),"Jerick McKinnon, KC"
115. (TE12),"Dalton Schultz, HOU"
116. (TE13),"Tyler Higbee, LAR"
117. (WR51),"DJ Chark Jr., CAR"
118. (WR52),"Darnell Mooney, CHI"
119. (WR53),"Nico Collins, HOU"
120. (WR54),"Elijah Moore, CLE"
121. (WR55),"Michael Gallup, DAL"
122. (WR56),"Adam Thielen, CAR"
123. (QB14),"Anthony Richardson, IND"
124. (QB15),"Aaron Rodgers, NYJ"
125. (QB16),"Geno Smith, SEA"
126. (QB17),"Russell Wilson, DEN"
127. (RB41),"Zach Charbonnet, SEA"
128. (RB42),"Devin Singletary, HOU"
129. (RB43),"Elijah Mitchell, SF"
130. (RB44),"Ezekiel Elliott, NE"
131. (RB45),"Jaylen Warren, PIT"
132. (RB46),"Tyler Allgeier, ATL"
133. (TE14),"Dalton Kincaid, BUF"
134. (TE15),"Chigoziem Okonkwo, TEN"
135. (WR57),"Kadarius Toney, KC"
136. (WR58),"Tyler Boyd, CIN"
137. (WR59),"K.J. Osborn, MIN"
138. (WR60),"Parris Campbell, NYG"
139. (TE16),"Juwan Johnson, NO"
140. (TE17),"Gerald Everett, LAC"
141. (DST1),"49ers D/ST, SF"
142. (DST2),"Steelers D/ST, PIT"
143. (DST3),"Bills D/ST, BUF"
144. (DST4),"Saints D/ST, NO"
145. (DST5),"Dolphins D/ST, MIA"
146. (DST6),"Cowboys D/ST, DAL"
147. (DST7),"Browns D/ST, CLE"
148. (DST8),"Jets D/ST, NYJ"
149. (DST9),"Patriots D/ST, NE"
150. (DST10),"Packers D/ST, GB"
151. (K1),"Justin Tucker, BAL"
152. (K2),"Daniel Carlson, LV"
153. (K3),"Evan McPherson, CIN"
154. (K4),"Harrison Butker, KC"
155. (K5),"Graham Gano, NYG"
156. (K6),"Jason Myers, SEA"
157. (K7),"Tyler Bass, BUF"
158. (K8),"Jake Elliott, PHI"
159. (K9),"Matt Gay, IND"
160. (K10),"Younghoe Koo, ATL"
161. (RB47),"Roschon Johnson, CHI"
162. (RB48),"De'Von Achane, MIA"
163. (RB49),"Gus Edwards, BAL"
164. (RB50),"Damien Harris, BUF"
165. (RB51),"Kenneth Gainwell, PHI"
166. (RB52),"Deon Jackson, IND"
167. (RB53),"Evan Hull, IND"
168. (RB54),"D'Onta Foreman, CHI"
169. (RB55),"Kyren Williams, LAR"
170. (RB56),"Tank Bigsby, JAC"
171. (RB57),"Tyjae Spears, TEN"
172. (WR61),"Allen Lazard, NYJ"
173. (WR62),"Hunter Renfrow, LV"
174. (WR63),"Zay Jones, JAC"
175. (WR64),"Jonathan Mingo, CAR"
176. (WR65),"Chase Claypool, CHI"
177. (WR66),"Curtis Samuel, WAS"
178. (WR67),"Jayden Reed, GB"
179. (WR68),"Romeo Doubs, GB"
180. (WR69),"Van Jefferson, LAR"
181. (WR70),"Rashod Bateman, BAL"
182. (QB18),"Kenny Pickett, PIT"
183. (QB19),"Matthew Stafford, LAR"
184. (QB20),"Jared Goff, DET"
185. (TE18),"Zach Ertz, ARI"
186. (TE19),"Tyler Conklin, NYJ"
187. (TE20),"Sam LaPorta, DET"
188. (TE21),"Greg Dulcich, DEN"
189. (DST11),"Panthers D/ST, CAR"
190. (DST12),"Bengals D/ST, CIN"
191. (K11),"Eddy Pineiro, CAR"
192. (K12),"Dustin Hopkins, CLE"
193. (WR71),"Marquez Valdes-Scantling, KC"
194. (WR72),"Jameson Williams, DET"
195. (WR73),"Isaiah Hodgins, NYG"
196. (WR74),"Alec Pierce, IND"
197. (WR75),"DeVante Parker, NE"
198. (WR76),"Marvin Mims Jr., DEN"
199. (RB58),"Jerome Ford, CLE"
200. (RB59),"Clyde Edwards-Helaire, KC"
201. (RB60),"Joshua Kelley, LAC"
202. (RB61),"Jeff Wilson Jr., MIA"
203. (RB62),"Chuba Hubbard, CAR"
204. (RB63),"Cordarrelle Patterson, ATL"
205. (WR77),"Rashee Rice, KC"
206. (RB64),"Zack Moss, IND"
207. (RB65),"Ty Chandler, MIN"
208. (RB66),"Keaontay Ingram, ARI"
209. (RB67),"Chase Edmonds, TB"
210. (RB68),"Raheem Blackshear, CAR"
211. (RB69),"Trayveon Williams, CIN"
212. (RB70),"Salvon Ahmed, MIA"
213. (RB71),"Craig Reynolds, DET"
214. (TE22),"Mike Gesicki, NE"
215. (QB21),"Kyler Murray, ARI"
216. (WR78),"Marvin Jones Jr., DET"
217. (WR79),"Mecole Hardman, NYJ"
218. (WR80),"Donovan Peoples-Jones, CLE"
219. (QB22),"Derek Carr, NO"
220. (QB23),"Jimmy Garoppolo, LV"
221. (DST13),"Commanders D/ST, WAS"
222. (DST14),"Buccaneers D/ST, TB"
223. (K13),"Greg Zuerlein, NYJ"
224. (K14),"Cairo Santos, CHI"
225. (WR81),"Michael Wilson, ARI"
226. (WR82),"Wan'Dale Robinson, NYG"
227. (WR83),"Robert Woods, HOU"
228. (WR84),"Rashid Shaheed, NO"
229. (WR85),"Mack Hollins, ATL"
230. (WR86),"Tutu Atwell, LAR"
231. (WR87),"Kendrick Bourne, NE"
232. (WR88),"Allen Robinson II, PIT"
233. (WR89),"Braxton Berrios, MIA"
234. (WR90),"Nathaniel Dell, HOU"
235. (RB72),"Ronald Jones II, DAL"
236. (RB73),"Rico Dowdle, DAL"
237. (RB74),"Ameer Abdullah, LV"
238. (RB75),"Matt Breida, NYG"
239. (RB76),"Deuce Vaughn, DAL"
240. (RB77),"Dare Ogunbowale, HOU"
241. (RB78),"Emari Demercado, ARI"
242. (RB79),"Myles Gaskin, MIN"
243. (QB24),"Ryan Tannehill, TEN"
244. (QB25),"Bryce Young, CAR"
245. (QB26),"C.J. Stroud, HOU"
246. (TE23),"Irv Smith Jr., CIN"
247. (TE24),"Hunter Henry, NE"
248. (TE25),"Logan Thomas, WAS"
249. (TE26),"Hayden Hurst, CAR"
250. (RB80),"Jaleel McLaughlin, DEN"
251. (WR91),"Terrace Marshall Jr., CAR"
252. (WR92),"Deonte Harty, BUF"
253. (DST15),"Ravens D/ST, BAL"
254. (DST16),"Eagles D/ST, PHI"
255. (K15),"Brandon McManus, JAC"
256. (K16),"Jake Moody, SF"
257. (TE27),"Dawson Knox, BUF"
258. (TE28),"Cade Otton, TB"
259. (TE29),"Noah Fant, SEA"
260. (WR93),"Randall Cobb, NYJ"
261. (WR94),"Josh Downs, IND"
262. (WR95),"Darius Slayton, NYG"
263. (WR96),"Nick Westbrook-Ikhine, TEN"
264. (RB81),"Zamir White, LV"
265. (RB82),"Kendre Miller, NO"
266. (QB27),"Brock Purdy, SF"
267. (QB28),"Jordan Love, GB"
268. (QB29),"Sam Howell, WAS"
269. (QB30),"Mac Jones, NE"
270. (QB31),"Desmond Ridder, ATL"
271. (WR97),"Quez Watkins, PHI"
272. (WR98),"Josh Palmer, LAC"
273. (WR99),"Demario Douglas, NE"
274. (WR100),"Deven Thompkins, TB"
275. (WR101),"Jauan Jennings, SF"
276. (RB83),"Chris Evans, CIN"
277. (RB84),"Justice Hill, BAL"
278. (RB85),"Chris Rodriguez Jr., WAS"
279. (RB86),"Isaiah Spiller, LAC"
280. (RB87),"Kevin Harris, NE"
281. (RB88),"Julius Chestnut, TEN"
282. (RB89),"Ke'Shawn Vaughn, TB"
283. (RB90),"Pierre Strong Jr., CLE"
284. (WR102),"Puka Nacua, LAR"
285. (DST17),"Titans D/ST, TEN"
286. (DST18),"Seahawks D/ST, SEA"
287. (K17),"Cameron Dicker, LAC"
288. (K18),"Riley Patterson, DET"
289. (TE30),"Luke Musgrave, GB"
290. (TE31),"Michael Mayer, LV"
291. (TE32),"Trey McBride, ARI"
292. (TE33),"Jake Ferguson, DAL"
293. (TE34),"Austin Hooper, LV"
294. (WR103),"Jamal Agnew, JAC"
295. (WR104),"Josh Reynolds, DET"
296. (QB32),"Baker Mayfield, TB"
297. (DST19),"Falcons D/ST, ATL"
298. (DST20),"Chiefs D/ST, KC"
299. (DST21),"Broncos D/ST, DEN"
300. (DST22),"Texans D/ST, HOU"
