Rank,NameTeam,Position
1. (16),"Lamar Jackson, BAL",QB
2. (61),"Patrick Mahomes, KC",QB
3. (75),"Deshaun Watson, HOU",QB
4. (76),"Kyler Murray, ARI",QB
5. (77),"Russell Wilson, SEA",QB
6. (105),"Dak Prescott, DAL",QB
7. (106),"Carson Wentz, PHI",QB
8. (107),"Jameis Winston, TB",QB
9. (108),"Josh Allen, BUF",QB
10. (109),"Matt Ryan, ATL",QB
11. (110),"Aaron Rodgers, GB",QB
12. (111),"Daniel Jones, NYG",QB
13. (112),"Cam Newton, CAR",QB
14. (132),"Drew Brees, NO",QB
15. (133),"Matthew Stafford, DET",QB
16. (134),"Ben Roethlisberger, PIT",QB
17. (135),"Ryan Tannehill, TEN",QB
18. (158),"Tom Brady, NE",QB
19. (159),"Kirk Cousins, MIN",QB
20. (160),"Jimmy Garoppolo, SF",QB
21. (212),"Jared Goff, LAR",QB
22. (219),"Baker Mayfield, CLE",QB
23. (220),"Sam Darnold, NYJ",QB
24. (243),"Dwayne Haskins, WAS",QB
25. (244),"Drew Lock, DEN",QB
26. (245),"Derek Carr, OAK",QB
27. (266),"Philip Rivers, LAC",QB
28. (267),"Ryan Fitzpatrick, MIA",QB
29. (268),"Jacoby Brissett, IND",QB
30. (269),"Gardner Minshew II, JAC",QB
31. (270),"Mitchell Trubisky, CHI",QB
32. (296),"Andy Dalton, CIN",QB
33. (301),"Teddy Bridgewater, NO",QB
34. (302),"Marcus Mariota, TEN",QB
35. (310),"Tyrod Taylor, LAC",QB
36. (315),"Eli Manning, NYG",QB
37. (316),"Nick Foles, JAC",QB
38. (317),"Kyle Allen, CAR",QB
39. (318),"Joe Flacco, DEN",QB
40. (319),"Case Keenum, WAS",QB
1. (32),"Travis Kelce, KC",TE
2. (33),"George Kittle, SF",TE
3. (34),"Zach Ertz, PHI",TE
4. (54),"Evan Engram, NYG",TE
5. (55),"Mark Andrews, BAL",TE
6. (62),"Darren Waller, OAK",TE
7. (63),"Austin Hooper, ATL",TE
8. (64),"Hunter Henry, LAC",TE
9. (103),"Jared Cook, NO",TE
10. (104),"Tyler Higbee, LAR",TE
11. (121),"T.J. Hockenson, DET",TE
12. (122),"Dallas Goedert, PHI",TE
13. (123),"Noah Fant, DEN",TE
14. (124),"O.J. Howard, TB",TE
15. (136),"Mike Gesicki, MIA",TE
16. (137),"Will Dissly, SEA",TE
17. (161),"Irv Smith Jr., MIN",TE
18. (162),"Eric Ebron, IND",TE
19. (163),"Chris Herndon, NYJ",TE
20. (193),"Kyle Rudolph, MIN",TE
21. (210),"Dawson Knox, BUF",TE
22. (211),"David Njoku, CLE",TE
23. (246),"Jack Doyle, IND",TE
24. (247),"Ian Thomas, CAR",TE
25. (248),"Vance McDonald, PIT",TE
26. (249),"Gerald Everett, LAR",TE
27. (257),"Jonnu Smith, TEN",TE
28. (258),"Jordan Reed, WAS",TE
29. (259),"Jason Witten, DAL",TE
30. (289),"Tyler Eifert, CIN",TE
31. (290),"Jimmy Graham, GB",TE
32. (291),"Greg Olsen, CAR",TE
33. (292),"Delanie Walker, TEN",TE
34. (293),"Hayden Hurst, BAL",TE
35. (311),"Trey Burton, CHI",TE
1. (1),"Christian McCaffrey, CAR",RB
2. (3),"Saquon Barkley, NYG",RB
3. (4),"Dalvin Cook, MIN",RB
4. (5),"Ezekiel Elliott, DAL",RB
5. (6),"Alvin Kamara, NO",RB
6. (7),"Leonard Fournette, JAC",RB
7. (14),"Aaron Jones, GB",RB
8. (15),"Nick Chubb, CLE",RB
9. (17),"Derrick Henry, TEN",RB
10. (18),"Joe Mixon, CIN",RB
11. (23),"Josh Jacobs, OAK",RB
12. (24),"Miles Sanders, PHI",RB
13. (25),"Melvin Gordon, LAC",RB
14. (26),"Kenyan Drake, ARI",RB
15. (27),"Austin Ekeler, LAC",RB
16. (28),"Chris Carson, SEA",RB
17. (41),"Todd Gurley II, LAR",RB
18. (42),"Le'Veon Bell, NYJ",RB
19. (43),"Devin Singletary, BUF",RB
20. (44),"Marlon Mack, IND",RB
21. (51),"Kerryon Johnson, DET",RB
22. (52),"Phillip Lindsay, DEN",RB
23. (53),"Mark Ingram II, BAL",RB
24. (65),"Kareem Hunt, CLE",RB
25. (66),"David Montgomery, CHI",RB
26. (67),"Derrius Guice, WAS",RB
27. (68),"James White, NE",RB
28. (69),"James Conner, PIT",RB
29. (70),"Devonta Freeman, ATL",RB
30. (71),"David Johnson, ARI",RB
31. (81),"Raheem Mostert, SF",RB
32. (82),"Ronald Jones II, TB",RB
33. (83),"Damien Williams, KC",RB
34. (84),"Sony Michel, NE",RB
35. (88),"Royce Freeman, DEN",RB
36. (89),"Duke Johnson Jr., HOU",RB
37. (90),"Rashaad Penny, SEA",RB
38. (101),"Tevin Coleman, SF",RB
39. (102),"Carlos Hyde, HOU",RB
40. (125),"Tarik Cohen, CHI",RB
41. (126),"Jordan Howard, PHI",RB
42. (127),"Matt Breida, SF",RB
43. (128),"Justice Hill, BAL",RB
44. (129),"Alexander Mattison, MIN",RB
45. (130),"Darrell Henderson Jr., LAR",RB
46. (131),"Tony Pollard, DAL",RB
47. (150),"Jamaal Williams, GB",RB
48. (151),"Jerick McKinnon, SF",RB
49. (152),"Adrian Peterson, WAS",RB
50. (153),"Latavius Murray, NO",RB
51. (154),"Ito Smith, ATL",RB
52. (155),"Justin Jackson, LAC",RB
53. (156),"Lamar Miller, HOU",RB
54. (157),"Darwin Thompson, KC",RB
55. (164),"Jaylen Samuels, PIT",RB
56. (165),"Boston Scott, PHI",RB
57. (166),"Nyheim Hines, IND",RB
58. (167),"Bryce Love, WAS",RB
59. (194),"Gus Edwards, BAL",RB
60. (195),"Ryquell Armstead, JAC",RB
61. (199),"Rex Burkhead, NE",RB
62. (200),"Chase Edmonds, ARI",RB
63. (201),"Malcolm Brown, LAR",RB
64. (202),"Qadree Ollison, ATL",RB
65. (203),"Darrel Williams, KC",RB
66. (204),"Isaiah Crowell, OAK",RB
67. (205),"Theo Riddick, DEN",RB
68. (206),"Peyton Barber, TB",RB
69. (207),"Chris Thompson, WAS",RB
70. (208),"DeAndre Washington, OAK",RB
71. (209),"Brian Hill, ATL",RB
72. (235),"Jalen Richard, OAK",RB
73. (236),"Bo Scarbrough, DET",RB
74. (237),"Benny Snell Jr., PIT",RB
75. (238),"Dion Lewis, TEN",RB
76. (239),"LeSean McCoy, KC",RB
77. (240),"Frank Gore, BUF",RB
78. (241),"Jordan Wilkins, IND",RB
79. (242),"Giovani Bernard, CIN",RB
80. (250),"Myles Gaskin, MIA",RB
81. (264),"Patrick Laird, MIA",RB
82. (265),"Travis Homer, SEA",RB
83. (276),"Mike Boone, MIN",RB
84. (277),"T.J. Yeldon, BUF",RB
85. (278),"Javorius Allen, NYG",RB
1. (2),"Michael Thomas, NO",WR
2. (8),"DeAndre Hopkins, HOU",WR
3. (9),"Davante Adams, GB",WR
4. (10),"Julio Jones, ATL",WR
5. (11),"Tyreek Hill, KC",WR
6. (12),"Mike Evans, TB",WR
7. (13),"Chris Godwin, TB",WR
8. (19),"Amari Cooper, DAL",WR
9. (20),"Kenny Golladay, DET",WR
10. (21),"Allen Robinson II, CHI",WR
11. (22),"Keenan Allen, LAC",WR
12. (29),"DJ Moore, CAR",WR
13. (30),"Tyler Lockett, SEA",WR
14. (31),"Courtland Sutton, DEN",WR
15. (35),"A.J. Brown, TEN",WR
