,,,,,2022 ESPN Fantasy Football Draft Kit,,,,,,,,,,
,,,,,,,PPR Top 300 Cheat Sheet,,,,,,,,
,RANKINGS 1-80,,,,RANKINGS 81-160,,,,RANKINGS 161-240,,,,RANKINGS 241-300,,
1. (RB1),"Jonathan Taylor, IND",$61,14,81. (RB29),"Damien Harris, NE",$4,10,161. (RB44),"J.D. McKissic, WAS",$0,14,241. (RB78),"Ke'Shawn Vaughn, TB",$0,11
2. (RB2),"Christian McCaffrey, CAR",$59,13,82. (RB30),"Dameon Pierce, HOU",$4,6,162. (RB45),"Raheem Mostert, MIA",$0,11,242. (RB79),"Joshua Kelley, LAC",$0,8
3. (WR1),"Cooper Kupp, LAR",$59,7,83. (RB31),"Chase Edmonds, MIA",$4,11,163. (RB46),"Alexander Mattison, MIN",$0,7,243. (QB24),"Matt Ryan, IND",$0,14
4. (RB3),"Austin Ekeler, LAC",$58,8,84. (RB32),"Antonio Gibson, WAS",$4,14,164. (RB47),"Darrell Henderson Jr., LAR",$0,7,244. (QB25),"Mac Jones, NE",$0,10
5. (WR2),"Justin Jefferson, MIN",$55,7,85. (RB33),"Cordarrelle Patterson, ATL",$4,14,165. (RB48),"Jamaal Williams, DET",$0,6,245. (QB26),"Jared Goff, DET",$0,6
6. (WR3),"Ja'Marr Chase, CIN",$54,10,86. (RB34),"Tony Pollard, DAL",$4,9,166. (RB49),"Kenneth Gainwell, PHI",$0,7,246. (TE23),"Gerald Everett, LAC",$0,8
7. (RB4),"Derrick Henry, TEN",$52,6,87. (TE8),"Dallas Goedert, PHI",$3,7,167. (RB50),"Khalil Herbert, CHI",$0,14,247. (TE24),"Logan Thomas, WAS",$0,14
8. (RB5),"Najee Harris, PIT",$50,9,88. (TE9),"Zach Ertz, ARI",$3,13,168. (RB51),"Tyler Allgeier, ATL",$0,14,248. (TE25),"Robert Tonyan, GB",$0,14
9. (RB6),"Alvin Kamara, NO",$49,14,89. (QB7),"Dak Prescott, DAL",$3,9,169. (RB52),"Jerick McKinnon, KC",$0,8,249. (TE26),"Mo Alie-Cox, IND",$0,14
10. (RB7),"Dalvin Cook, MIN",$46,7,90. (QB8),"Tom Brady, TB",$3,11,170. (RB53),"Isiah Pacheco, KC",$0,8,250. (RB80),"DeeJay Dallas, SEA",$0,11
11. (WR4),"Davante Adams, LV",$45,6,91. (QB9),"Aaron Rodgers, GB",$3,14,171. (WR62),"Jalen Tolbert, DAL",$0,9,251. (WR91),"D'Wayne Eskridge, SEA",$0,11
12. (WR5),"Deebo Samuel, SF",$44,9,92. (QB10),"Russell Wilson, DEN",$3,9,172. (WR63),"George Pickens, PIT",$0,9,252. (WR92),"Devin Duvernay, BAL",$0,10
13. (WR6),"Stefon Diggs, BUF",$44,7,93. (QB11),"Joe Burrow, CIN",$3,10,173. (WR64),"Rondale Moore, ARI",$0,13,253. (DST15),"Patriots D/ST, NE",$0,10
14. (RB8),"Joe Mixon, CIN",$43,10,94. (QB12),"Matthew Stafford, LAR",$3,7,174. (WR65),"Mecole Hardman, KC",$0,8,254. (DST16),"Eagles D/ST, PHI",$0,7
15. (RB9),"D'Andre Swift, DET",$42,6,95. (WR40),"Kadarius Toney, NYG",$3,9,175. (WR66),"Michael Gallup, DAL",$0,9,255. (K15),"Dustin Hopkins, LAC",$0,8
16. (WR7),"CeeDee Lamb, DAL",$40,9,96. (WR41),"Allen Lazard, GB",$2,14,176. (WR67),"Nico Collins, HOU",$0,6,256. (K16),"Mason Crosby, GB",$0,14
17. (WR8),"Tyreek Hill, MIA",$38,11,97. (WR42),"Brandon Aiyuk, SF",$2,9,177. (WR68),"Julio Jones, TB",$0,11,257. (TE27),"Brevin Jordan, HOU",$0,6
18. (RB10),"Leonard Fournette, TB",$37,11,98. (WR43),"Garrett Wilson, NYJ",$2,10,178. (WR69),"Van Jefferson, LAR",$0,7,258. (TE28),"Tyler Conklin, NYJ",$0,10
19. (TE1),"Mark Andrews, BAL",$36,10,99. (WR44),"Robert Woods, TEN",$2,6,179. (WR70),"Curtis Samuel, WAS",$0,14,259. (TE29),"Isaiah Likely, BAL",$0,10
20. (RB11),"Javonte Williams, DEN",$35,9,100. (WR45),"DeAndre Hopkins, ARI",$2,13,180. (WR71),"Wan'Dale Robinson, NYG",$0,9,260. (WR93),"Donovan Peoples-Jones, CLE$0",,9
21. (TE2),"Travis Kelce, KC",$34,8,101. (WR46),"Chase Claypool, PIT",$2,9,181. (WR72),"Christian Watson, GB",$0,14,261. (WR94),"Bryan Edwards, ATL",$0,14
22. (RB12),"James Conner, ARI",$33,13,102. (WR47),"Chris Olave, NO",$2,14,182. (WR73),"Jameson Williams, DET",$0,6,262. (WR95),"Sammy Watkins, GB",$0,14
23. (RB13),"Aaron Jones, GB",$32,14,103. (QB13),"Trey Lance, SF",$2,9,183. (WR74),"Alec Pierce, IND",$0,14,263. (WR96),"Braxton Berrios, NYJ",$0,10
24. (WR9),"Keenan Allen, LAC",$32,8,104. (RB35),"AJ Dillon, GB",$2,14,184. (TE19),"Evan Engram, JAC",$0,11,264. (RB81),"Eno Benjamin, ARI",$0,13
25. (WR10),"Tee Higgins, CIN",$31,10,105. (RB36),"Rashaad Penny, SEA",$2,11,185. (TE20),"Austin Hooper, TEN",$0,6,265. (RB82),"Justin Jackson, DET",$0,6
26. (WR11),"Mike Evans, TB",$30,11,106. (RB37),"James Robinson, JAC",$2,11,186. (TE21),"Hayden Hurst, CIN",$0,10,266. (QB27),"Baker Mayfield, CAR",$0,13
