RK,PLAYER,PTS ADDED,PASS,RUN,PENALTY,TOTAL EPA,QB PLAYS,RAW QBR,TOTAL QBR
1,"Aaron Rodgers, GB",78,78.3,13.2,4.4,109.7,651,84.5,83.8
2,"Drew Brees, NO",82.7,109.3,1.3,0.9,120.2,738,83,82.3
3,"Matt Schaub, HOU",23,34.1,1.9,1.2,43,330,72.9,73.8
4,"Tom Brady, NE",56.9,83.3,5.1,0.9,102.5,726,75.2,73.8
5,"Matt Ryan, ATL",37.4,55.5,4,3.5,76,656,69.1,69.3
6,"Tony Romo, DAL",35.5,57,-0.8,0.3,71.5,611,69.5,69
7,"Ben Roethlisberger, PIT",26.6,43.3,1.6,3.1,63.2,607,65,68.3
8,"Mike Vick, PHI",30.4,39.8,16.2,-0.4,63.9,543,68.8,67.8
9,"Philip Rivers, LAC",27.6,54.5,0.9,3.8,70.9,673,64.1,64.9
10,"Eli Manning, NYG",27.9,61.8,-5.4,5.2,73,685,64,64.2
11,"Joe Flacco, BAL",23.4,40.9,5.8,4.3,62.4,647,62.5,63.7
12,"Jay Cutler, CHI",15.1,28.1,0.2,0.6,36.6,384,63.6,60.5
13,"Matthew Stafford, DET",25.9,54.7,0.5,2.2,72.8,772,61.6,60.5
14,"Cam Newton, CAR",16.2,22.4,24.8,-0.7,62.7,705,58.1,56.6
15,"Matt Moore, MIA",8.8,21.8,-0.3,3.3,37.6,430,57.2,55.7
16,"Alex Smith, SF",4.9,16.1,9.7,0.5,46.5,580,53,54.5
17,"Carson Palmer, OAK",6.3,21.8,-0.5,0.8,29.2,390,55.7,53.5
18,"Matt Hasselbeck, TEN",2.3,27.4,2,2.8,40.6,578,51.4,51.4
19,"Ryan Fitzpatrick, BUF",0.9,27,1.5,5.7,43.6,672,50.5,50.1
20,"Andy Dalton, CIN",-5.5,31,-3.5,4.4,40.6,627,46.9,49.5
21,"Matt Cassel, KC",4.5,11.3,4.7,-0.1,24.9,334,54.7,48.4
22,"Josh Freeman, TB",-6.3,14.6,9.8,1.1,35.9,675,46.7,46.1
23,"Tarvaris Jackson, SEA",-8.6,15.3,-0.7,0.3,31.5,568,44.7,46.1
24,"Colt McCoy, CLE",-9.3,14.2,1.7,2.4,30.4,587,44.4,45.9
25,"Mark Sanchez, NYJ",-11.2,17.1,-1,5.3,36.4,676,44.1,42.1
26,"Rex Grossman, WSH",-10.9,16.4,-1.2,-0.6,27.7,522,42.7,41.5
27,"Tim Tebow, DEN",-13.3,0.3,7.6,-1,17.5,444,39.6,38.6
28,"John Skelton, ARI",-15,-2.2,1.9,1.1,11,339,34.9,37.3
29,"Kevin Kolb, ARI",-15.2,-6.1,0.3,1.9,9,324,34,33.3
30,"Christian Ponder, MIN",-17.9,-11.5,8.5,-0.2,8.8,366,33.4,32.4
31,"Sam Bradford, LAR",-25.3,-2.9,-2.1,-0.4,7.3,436,30.5,31.4
32,"Blaine Gabbert, JAX",-46,-23.6,-2.9,3.4,-4.4,516,22.1,22.2
